代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SH603848,2017-12-01,9.4700,11.3600,9.4700,11.3600,15400,174755.00,0.00037561,0.000038,1.0000
SH603848,2017-12-04,12.5000,12.5000,12.5000,12.5000,11760,147000.00,0.00028683,0.000029,1.0000
SH603848,2017-12-05,13.7500,13.7500,13.7500,13.7500,38583,530516.00,0.00094105,0.000096,1.0000
SH603848,2017-12-06,15.1300,15.1300,15.1300,15.1300,66980,1013407.00,0.00163366,0.000167,1.0000
SH603848,2017-12-07,16.6400,16.6400,16.6400,16.6400,113736,1892567.00,0.00277405,0.000284,1.0000
SH603848,2017-12-08,18.3000,18.3000,18.3000,18.3000,356287,6520052.00,0.00868993,0.000889,1.0000
SH603848,2017-12-11,20.1300,20.1300,20.1300,20.1300,248050,4993247.00,0.00605000,0.000619,1.0000
SH603848,2017-12-12,22.1400,22.1400,22.1400,22.1400,954431,21131102.00,0.02327880,0.002380,1.0000
SH603848,2017-12-13,23.7000,24.3500,23.0500,24.3500,30759252,731252032.00,0.75022566,0.076706,1.0000
SH603848,2017-12-14,23.7000,25.7800,22.6800,25.5400,28287326,673601408.00,0.68993478,0.070542,1.0000
SH603848,2017-12-15,24.6600,27.5900,23.9000,24.6000,29608700,747447040.00,0.72216341,0.073837,1.0000
SH603848,2017-12-18,23.4600,23.5000,22.1400,22.1400,15917576,360500096.00,0.38823356,0.039695,1.0000
SH603848,2017-12-19,21.2600,21.7900,20.2500,20.6300,18218696,381538752.00,0.44435844,0.045433,1.0000
SH603848,2017-12-20,20.6900,21.1500,20.0600,20.2000,14860890,306697120.00,0.36246073,0.037060,1.0000
SH603848,2017-12-21,19.4000,20.3000,18.9100,19.7800,13979757,273435008.00,0.34096968,0.034862,1.0000
SH603848,2017-12-22,19.6400,20.4600,19.3700,19.9600,13871890,277536352.00,0.33833878,0.034593,1.0000
SH603848,2017-12-25,19.5000,19.6600,18.5600,19.2200,11983632,228612528.00,0.29228371,0.029884,1.0000
SH603848,2017-12-26,19.0100,20.8600,18.9300,20.4200,17291724,348618272.00,0.42174937,0.043122,1.0000
SH603848,2017-12-27,20.0500,22.3500,19.9900,21.7900,21086254,446375360.00,0.51429888,0.052584,1.0000
SH603848,2017-12-28,21.1000,23.9700,20.6200,23.9700,20008784,447936960.00,0.48801912,0.049897,1.0000
SH603848,2017-12-29,24.8000,25.8800,22.3500,22.6900,24633720,598183936.00,0.60082244,0.061431,1.0000
SH603848,2018-01-02,22.1200,24.9600,21.7000,24.3200,22343110,529806752.00,0.54495390,0.055718,1.0000
SH603848,2018-01-03,23.5000,23.7100,22.0500,23.2100,19547380,447162880.00,0.47676537,0.048747,1.0000
SH603848,2018-01-04,22.6100,23.1700,22.1200,22.3900,12058790,271093440.00,0.29411683,0.030072,1.0000
SH603848,2018-01-05,22.3500,22.6300,21.8000,21.8400,9415152,208341200.00,0.22963785,0.023479,1.0000
SH603848,2018-01-08,21.4800,22.4000,20.6000,22.3200,12225444,261988016.00,0.29818156,0.030487,1.0000
SH603848,2018-01-09,22.0000,23.7300,21.7900,23.3600,18892298,433303776.00,0.46078776,0.047113,1.0000
SH603848,2018-01-10,23.0200,23.3300,22.2700,22.6700,12672811,288742048.00,0.30909295,0.031603,1.0000
SH603848,2018-01-11,22.1000,23.4000,21.8000,22.4700,11944098,272066976.00,0.29131946,0.029786,1.0000
SH603848,2018-01-12,21.9300,22.1400,21.0200,21.0600,10749172,231438768.00,0.26217493,0.026806,1.0000
SH603848,2018-01-15,20.6200,22.0900,20.4100,21.5000,9364821,200763488.00,0.22841027,0.023354,1.0000
SH603848,2018-01-16,21.3500,22.6900,21.1100,22.2900,10738174,237895504.00,0.26190668,0.026778,1.0000
SH603848,2018-01-17,22.0000,22.9800,21.6300,22.7300,11910207,267329984.00,0.29049285,0.029701,1.0000
SH603848,2018-01-18,22.7300,23.3400,21.8100,22.0300,9099629,204188880.00,0.22194217,0.022692,1.0000
SH603848,2018-01-19,21.5400,24.2300,21.3000,24.2300,24773124,579391040.00,0.60422254,0.061778,1.0000
SH603848,2018-01-22,23.7000,23.8600,22.5000,23.1600,17624804,407373952.00,0.42987327,0.043952,1.0000
SH603848,2018-01-23,22.8400,23.3500,22.4900,22.9200,11014503,252145952.00,0.26864641,0.027468,1.0000
SH603848,2018-01-24,22.7300,23.9800,22.7300,23.4000,15213087,357147232.00,0.37105090,0.037938,1.0000
SH603848,2018-01-25,23.4000,24.0400,22.6300,22.8800,14470692,336643232.00,0.35294371,0.036087,1.0000
SH603848,2018-01-26,22.2800,22.5000,21.6700,21.8000,10753172,237270240.00,0.26227249,0.026816,1.0000
SH603848,2018-01-29,21.8000,22.2500,21.0100,21.9500,6959833,151188608.00,0.16975202,0.017356,1.0000
SH603848,2018-01-30,22.0500,22.1100,21.3900,21.5700,4505478,97439800.00,0.10988971,0.011236,1.0000
SH603848,2018-01-31,21.6000,22.3800,21.2000,22.1900,10160920,223656416.00,0.24782732,0.025339,1.0000
SH603848,2018-02-01,21.6100,22.2000,19.9700,19.9700,9703441,199422288.00,0.23666929,0.024198,1.0000
SH603848,2018-02-02,19.0000,19.4500,18.2000,18.7600,6550493,123445528.00,0.15976812,0.016335,1.0000
SH603848,2018-02-05,18.3000,18.6700,17.9800,18.0000,4735752,86485392.00,0.11550615,0.011810,1.0000
SH603848,2018-02-06,17.2000,17.4600,16.2000,16.2000,6243626,104699368.00,0.15228356,0.015570,1.0000
SH603848,2018-02-07,16.7000,16.7600,15.3000,16.4300,5952622,96976368.00,0.14518590,0.014844,1.0000
SH603848,2018-02-08,16.2000,16.8200,16.1100,16.5000,3504225,58062136.00,0.08546890,0.008739,1.0000
SH603848,2018-02-09,15.7000,16.0800,15.0700,15.4000,4278469,66958548.00,0.10435290,0.010670,1.0000
SH603848,2018-02-12,15.7600,16.1600,15.7200,16.0300,3554773,56608612.00,0.08670178,0.008865,1.0000
SH603848,2018-02-13,16.0800,16.3500,15.8600,15.9000,3266388,52447492.00,0.07966800,0.008146,1.0000
SH603848,2018-02-14,15.9000,16.1900,15.8000,16.0100,2294678,36800100.00,0.05596776,0.005722,1.0000
SH603848,2018-02-22,16.2000,16.5000,16.0500,16.4700,2661780,43477832.00,0.06492146,0.006638,1.0000
SH603848,2018-02-23,16.4800,16.6800,16.3100,16.6600,2678582,44294168.00,0.06533127,0.006680,1.0000
SH603848,2018-02-26,16.9400,17.5700,16.9400,17.2400,3882815,67087328.00,0.09470280,0.009683,1.0000
SH603848,2018-02-27,17.0000,17.5200,17.0000,17.4000,4004812,69304024.00,0.09767834,0.009987,1.0000
SH603848,2018-02-28,17.2200,17.2200,16.6800,16.8100,2909395,49242908.00,0.07096085,0.007255,1.0000
SH603848,2018-03-01,16.6300,17.0700,16.5300,16.9900,2300455,38977768.00,0.05610866,0.005737,1.0000
SH603848,2018-03-02,16.9000,16.9700,16.5800,16.6200,2655912,44493256.00,0.06477834,0.006623,1.0000
SH603848,2018-03-05,16.6300,17.1000,16.6300,17.0700,2892845,48844800.00,0.07055720,0.007214,1.0000
SH603848,2018-03-06,17.1000,17.8600,17.0900,17.7900,5655292,99474304.00,0.13793395,0.014103,1.0000
SH603848,2018-03-07,18.0700,19.2200,17.4000,18.5900,7547202,136792400.00,0.18407810,0.018821,1.0000
SH603848,2018-03-08,18.8500,19.3900,18.5000,18.6100,7077022,133215832.00,0.17261029,0.017648,1.0000
SH603848,2018-03-09,18.5300,18.8000,18.1800,18.5600,4745657,87655632.00,0.11574773,0.011835,1.0000
