代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SZ002450,2010-07-16,19.0100,22.8500,18.0200,20.0500,28287000,546427072.00,0.87521658,0.175043,1.0000
SZ002450,2010-07-19,18.1100,18.9400,18.0500,18.4800,17892200,329467520.00,0.55359530,0.110719,1.0000
SZ002450,2010-07-20,18.8800,19.2900,18.5300,18.9100,14820200,279322272.00,0.45854579,0.091709,1.0000
SZ002450,2010-07-21,18.8000,19.6400,18.5300,19.0500,12798500,243668432.00,0.39599319,0.079199,1.0000
SZ002450,2010-07-22,18.8300,19.3900,18.6000,19.2000,8823300,168042640.00,0.27299814,0.054600,1.0000
SZ002450,2010-07-23,19.1600,20.3400,19.0500,19.7200,10800600,213268976.00,0.33417698,0.066835,1.0000
SZ002450,2010-07-26,19.8500,20.6600,19.8500,20.4000,9761200,198226384.00,0.30201733,0.060403,1.0000
SZ002450,2010-07-27,20.5100,20.5800,19.8500,19.9500,6316200,126763256.00,0.19542698,0.039085,1.0000
SZ002450,2010-07-28,20.0300,20.5100,20.0000,20.3500,7245300,147143984.00,0.22417389,0.044835,1.0000
SZ002450,2010-07-29,20.2000,20.6200,20.1300,20.5800,7574200,154533184.00,0.23435025,0.046870,1.0000
SZ002450,2010-07-30,20.6000,20.6000,19.7600,20.1300,6023100,121308552.00,0.18635829,0.037272,1.0000
SZ002450,2010-08-02,20.1200,20.5500,20.0000,20.3000,5182100,105377472.00,0.16033725,0.032067,1.0000
SZ002450,2010-08-03,20.2300,20.3000,19.5100,19.5100,5305900,105686888.00,0.16416770,0.032834,1.0000
SZ002450,2010-08-04,19.3000,19.9100,19.0500,19.8100,4668600,90967288.00,0.14444926,0.028890,1.0000
SZ002450,2010-08-05,19.7500,19.9200,19.4100,19.5000,2919900,57305636.00,0.09034344,0.018069,1.0000
SZ002450,2010-08-06,19.4100,20.3000,19.3200,20.3000,4854700,97038600.00,0.15020730,0.030041,1.0000
SZ002450,2010-08-09,20.4100,21.3100,20.3800,20.8200,6518900,135988928.00,0.20169864,0.040340,1.0000
SZ002450,2010-08-10,20.6800,21.6200,20.6800,21.1900,10190700,216374368.00,0.31530631,0.063061,1.0000
SZ002450,2010-08-11,20.9000,22.7500,20.8000,22.4200,11210500,245785440.00,0.34685953,0.069372,1.0000
SZ002450,2010-08-12,22.0000,22.7200,21.8100,22.4400,7173800,158876768.00,0.22196163,0.044392,1.0000
SZ002450,2010-08-13,22.2200,22.6600,21.2500,21.8400,4409800,96481512.00,0.13644183,0.027288,1.0000
SZ002450,2010-08-16,21.5900,22.3900,21.3500,22.2100,4226100,93054096.00,0.13075804,0.026152,1.0000
SZ002450,2010-08-17,22.0500,22.9600,21.7100,22.6700,4733100,105275464.00,0.14644493,0.029289,1.0000
SZ002450,2010-08-18,22.6600,22.6700,21.8700,21.8700,3610200,79795992.00,0.11170173,0.022340,1.0000
SZ002450,2010-08-19,21.8800,22.1000,21.5600,21.5900,3056300,66728632.00,0.09456374,0.018913,1.0000
SZ002450,2010-08-20,21.5000,21.8700,21.2100,21.2500,2811400,60562564.00,0.08698639,0.017397,1.0000
SZ002450,2010-08-23,21.2500,21.4500,21.1000,21.2800,1839800,39164400.00,0.05692450,0.011385,1.0000
SZ002450,2010-08-24,21.1800,21.6500,21.1500,21.4800,2445500,52343468.00,0.07566522,0.015133,1.0000
SZ002450,2010-08-25,21.4800,21.8000,20.8000,20.8000,2451700,52487984.00,0.07585705,0.015171,1.0000
SZ002450,2010-08-26,20.8800,21.0800,20.5200,20.7200,2008600,41605260.00,0.06214728,0.012429,1.0000
SZ002450,2010-08-27,20.7000,21.2500,20.6000,21.1100,2052900,43229528.00,0.06351795,0.012704,1.0000
SZ002450,2010-08-30,21.2400,21.8400,21.2400,21.5200,2630900,56776024.00,0.08140161,0.016280,1.0000
SZ002450,2010-08-31,21.5200,21.8500,20.9100,21.7100,3453300,74022184.00,0.10684715,0.021369,1.0000
SZ002450,2010-09-01,21.7200,21.7500,20.7000,20.9200,3087000,65468024.00,0.09551361,0.019103,1.0000
SZ002450,2010-09-02,21.0100,22.4500,20.8100,22.0000,5384600,117221744.00,0.16660272,0.033321,1.0000
SZ002450,2010-09-03,22.3000,22.9900,21.8000,22.3400,5216300,117174488.00,0.16139542,0.032279,1.0000
SZ002450,2010-09-06,22.4000,22.5500,21.5100,21.5300,3198500,69884728.00,0.09896349,0.019793,1.0000
SZ002450,2010-09-07,21.5500,21.5600,21.1200,21.4000,1737500,37071048.00,0.05375928,0.010752,1.0000
SZ002450,2010-09-08,21.3400,21.9000,21.3200,21.7000,1851800,40160108.00,0.05729579,0.011459,1.0000
SZ002450,2010-09-09,21.9400,21.9400,20.9000,20.9600,2571500,54717136.00,0.07956374,0.015913,1.0000
SZ002450,2010-09-10,20.8800,21.1000,20.5400,20.9400,1833000,38099772.00,0.05671411,0.011343,1.0000
SZ002450,2010-09-13,20.8600,21.3000,20.7600,21.1900,1510300,31894400.00,0.04672958,0.009346,1.0000
SZ002450,2010-09-14,21.1500,21.4000,21.0700,21.2500,1220300,25941246.00,0.03775681,0.007551,1.0000
SZ002450,2010-09-15,21.1800,21.3500,20.1000,20.2500,1793200,37273764.00,0.05548267,0.011097,1.0000
SZ002450,2010-09-16,20.2500,20.3300,19.3100,19.6000,1781400,35139952.00,0.05511757,0.011024,1.0000
