代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SH600011,2001-12-06,13.3000,14.0700,13.3000,13.6400,123438100,1684638976.00,0.84197742,0.020573,1.0000
SH600011,2001-12-07,13.6000,13.6800,13.0300,13.1100,21226600,284940992.00,0.14478769,0.003538,1.0000
SH600011,2001-12-10,13.0200,13.2800,12.7600,13.1800,11154100,145102000.00,0.07608267,0.001859,1.0000
SH600011,2001-12-11,13.1000,13.3000,12.9500,12.9600,5654100,74127000.00,0.03856690,0.000942,1.0000
SH600011,2001-12-12,12.9000,13.7300,12.8700,13.4600,18886100,254419008.00,0.12882303,0.003148,1.0000
SH600011,2001-12-13,13.4300,13.5900,13.2800,13.3800,5719600,76988000.00,0.03901368,0.000953,1.0000
SH600011,2001-12-14,13.3200,13.5800,13.2800,13.3100,3588100,48141000.00,0.02447461,0.000598,1.0000
SH600011,2001-12-17,13.4000,13.5500,13.3000,13.3100,2935500,39365000.00,0.02002319,0.000489,1.0000
SH600011,2001-12-18,13.3000,13.3800,12.9000,13.1700,7393500,96591000.00,0.05043143,0.001232,1.0000
SH600011,2001-12-19,13.1700,13.2400,12.9300,12.9900,3267700,42651000.00,0.02228914,0.000545,1.0000
SH600011,2001-12-20,12.9000,12.9200,12.4300,12.5000,7445700,93776000.00,0.05078749,0.001241,1.0000
SH600011,2001-12-21,12.4000,12.5800,12.2800,12.5300,3083400,38183000.00,0.02103202,0.000514,1.0000
SH600011,2001-12-24,12.4000,12.5000,12.1000,12.2700,4534200,55657000.00,0.03092800,0.000756,1.0000
SH600011,2001-12-25,12.2800,12.5600,12.1900,12.4100,3351600,41584000.00,0.02286143,0.000559,1.0000
SH600011,2001-12-26,12.3100,12.7600,12.3000,12.5000,3566700,44719000.00,0.02432864,0.000594,1.0000
SH600011,2001-12-27,12.5800,12.7200,12.4600,12.5000,3720900,46725000.00,0.02538044,0.000620,1.0000
SH600011,2001-12-28,12.5000,12.5800,12.3300,12.5200,2142800,26678000.00,0.01461615,0.000357,1.0000
SH600011,2001-12-31,12.5600,12.7400,12.5200,12.5700,2109900,26631000.00,0.01439173,0.000352,1.0000
SH600011,2002-01-04,12.5700,12.5700,12.1500,12.2200,1922100,23600000.00,0.01311074,0.000320,1.0000
SH600011,2002-01-07,12.2000,12.3000,12.0800,12.2600,1328200,16136000.00,0.00905972,0.000221,1.0000
SH600011,2002-01-08,12.2600,12.3700,12.1400,12.1500,1042400,12783000.00,0.00711026,0.000174,1.0000
SH600011,2002-01-09,12.1100,12.1900,11.8000,11.9000,2066700,24735000.00,0.01409706,0.000344,1.0000
SH600011,2002-01-10,11.8000,12.1900,11.5000,12.1000,3313700,38863000.00,0.02260291,0.000552,1.0000
SH600011,2002-01-11,12.0500,12.0600,11.5100,11.5200,2739000,32258000.00,0.01868286,0.000457,1.0000
SH600011,2002-01-14,11.4000,11.5100,11.1900,11.2800,2764000,31313000.00,0.01885338,0.000461,1.0000
SH600011,2002-01-15,11.1800,11.7900,11.1700,11.3600,3424400,39158000.00,0.02335800,0.000571,1.0000
SH600011,2002-01-16,11.3600,11.7100,11.1800,11.5900,2830200,32501000.00,0.01930494,0.000472,1.0000
SH600011,2002-01-17,11.5400,11.6200,11.2800,11.3400,2558600,29213000.00,0.01745234,0.000426,1.0000
SH600011,2002-01-18,11.2500,11.9900,11.1800,11.6000,5675100,66055000.00,0.03871014,0.000946,1.0000
SH600011,2002-01-21,11.7000,11.8400,11.4700,11.6500,3142800,36496000.00,0.02143720,0.000524,1.0000
SH600011,2002-01-22,11.6000,11.9900,11.5500,11.7700,3163300,37246000.00,0.02157703,0.000527,1.0000
SH600011,2002-01-23,11.8600,12.6000,11.7000,12.4900,6359300,77314000.00,0.04337710,0.001060,1.0000
SH600011,2002-01-24,12.4900,12.8500,12.0200,12.5300,9668600,121114000.00,0.06595000,0.001611,1.0000
SH600011,2002-01-25,12.5100,12.5800,12.3600,12.4000,3145000,39162000.00,0.02145220,0.000524,1.0000
SH600011,2002-01-28,12.3000,12.3900,11.4800,11.5000,5566400,66214000.00,0.03796869,0.000928,1.0000
SH600011,2002-01-29,11.2000,11.9000,11.2000,11.8500,2695600,31564000.00,0.01838682,0.000449,1.0000
SH600011,2002-01-30,11.8000,11.9600,11.6900,11.7400,1632500,19295000.00,0.01113536,0.000272,1.0000
SH600011,2002-01-31,11.9000,12.8000,11.9000,12.4200,7924500,98754000.00,0.05405341,0.001321,1.0000
SH600011,2002-02-01,12.4800,12.6100,12.3000,12.3300,3339900,41444000.00,0.02278162,0.000557,1.0000
SH600011,2002-02-04,12.4800,12.8800,12.3800,12.7300,4772600,60707000.00,0.03255414,0.000795,1.0000
SH600011,2002-02-05,12.7100,12.7900,12.6100,12.7100,2621800,33342000.00,0.01788343,0.000437,1.0000
SH600011,2002-02-06,12.7300,12.7500,12.4000,12.4500,2379400,29855000.00,0.01623001,0.000397,1.0000
SH600011,2002-02-07,12.4500,12.9000,12.4500,12.7000,4285800,54791000.00,0.02923366,0.000714,1.0000
SH600011,2002-02-08,12.8000,12.9800,12.7500,12.7500,3239500,41747000.00,0.02209679,0.000540,1.0000
SH600011,2002-02-25,13.0800,13.2000,12.8000,12.9400,4979700,64638000.00,0.03396678,0.000830,1.0000
SH600011,2002-02-26,12.9200,12.9800,12.7600,12.9200,2200200,28300000.00,0.01500767,0.000367,1.0000
SH600011,2002-02-27,12.9000,13.1500,12.8800,12.9700,1765400,23007000.00,0.01204188,0.000294,1.0000
SH600011,2002-02-28,12.9800,13.1500,12.9000,13.0300,2557900,33314000.00,0.01744756,0.000426,1.0000
SH600011,2002-03-01,12.9200,12.9300,12.5900,12.6100,2798000,35841000.00,0.01908530,0.000466,1.0000
SH600011,2002-03-04,12.5000,12.9500,12.4800,12.9300,2101500,26957000.00,0.01433444,0.000350,1.0000
SH600011,2002-03-05,12.9000,13.2400,12.9000,13.0800,5396000,70806000.00,0.03680638,0.000899,1.0000
SH600011,2002-03-06,13.1100,13.3400,13.0200,13.0600,4783300,63163000.00,0.03188867,0.000797,1.0000
SH600011,2002-03-07,13.1000,13.3800,13.0800,13.3600,4648900,61746000.00,0.03099267,0.000775,1.0000
SH600011,2002-03-08,13.4000,13.5600,13.2000,13.3800,5766200,77202000.00,0.03844133,0.000961,1.0000
SH600011,2002-03-11,13.4600,13.9500,13.3800,13.8400,11772900,161676000.00,0.07848600,0.001962,1.0000
SH600011,2002-03-12,13.8600,13.9300,13.5100,13.6000,5197300,71312000.00,0.03464867,0.000866,1.0000
SH600011,2002-03-13,13.6000,13.8500,13.3300,13.5000,5859200,79720000.00,0.03906133,0.000977,1.0000
SH600011,2002-03-14,13.5000,13.8500,13.5000,13.8000,2994000,41083000.00,0.01996000,0.000499,1.0000
SH600011,2002-03-15,13.8000,14.1000,13.6200,13.6700,8601100,119667000.00,0.05734067,0.001434,1.0000
SH600011,2002-03-18,14.0100,14.0800,13.5000,13.7000,3204500,44149000.00,0.02136333,0.000534,1.0000
SH600011,2002-03-19,13.6900,14.0900,13.6900,14.0200,4311700,60102000.00,0.02874467,0.000719,1.0000
SH600011,2002-03-20,14.1000,14.2000,13.8500,14.0000,6140800,86176000.00,0.04093867,0.001023,1.0000
SH600011,2002-03-21,14.0000,14.0900,13.8000,13.9100,2770400,38509000.00,0.01846933,0.000462,1.0000
SH600011,2002-03-22,13.9100,13.9900,13.7800,13.9000,2005200,27802000.00,0.01336800,0.000334,1.0000
SH600011,2002-03-25,13.9300,14.0900,13.8200,14.0400,2316500,32315000.00,0.01544333,0.000386,1.0000
SH600011,2002-03-26,14.0500,14.0800,13.5000,13.7400,2644800,36469000.00,0.01763200,0.000441,1.0000
SH600011,2002-03-27,13.5800,13.8100,13.5400,13.6600,1780000,24307000.00,0.01186667,0.000297,1.0000
SH600011,2002-03-28,13.6600,13.7800,13.5700,13.6100,1689100,23061000.00,0.01126067,0.000282,1.0000
SH600011,2002-03-29,13.5800,13.6100,13.3500,13.5500,3010800,40554000.00,0.02007200,0.000502,1.0000
SH600011,2002-04-01,13.5000,13.6000,13.3600,13.5100,1174600,15833000.00,0.00783067,0.000196,1.0000
SH600011,2002-04-02,13.5100,13.5700,13.2000,13.2600,1440200,19177000.00,0.00960133,0.000240,1.0000
SH600011,2002-04-03,13.1600,13.4300,13.1200,13.2100,2722100,36000000.00,0.01814733,0.000454,1.0000
SH600011,2002-04-04,13.3000,13.5600,13.1100,13.5400,1252400,16747000.00,0.00834933,0.000209,1.0000
SH600011,2002-04-05,13.5800,13.7000,13.4300,13.4500,1005200,13657000.00,0.00670133,0.000168,1.0000
SH600011,2002-04-08,13.4000,13.6600,13.4000,13.5600,610800,8287000.00,0.00407200,0.000102,1.0000
SH600011,2002-04-09,13.5400,13.7400,13.5000,13.6100,1735300,23616000.00,0.01156867,0.000289,1.0000
SH600011,2002-04-10,13.6700,13.6900,13.3800,13.5800,1639900,22156000.00,0.01093267,0.000273,1.0000
SH600011,2002-04-11,13.6000,13.6000,13.2700,13.2800,1419900,19022000.00,0.00946600,0.000237,1.0000
SH600011,2002-04-12,13.3600,13.8900,13.2900,13.3900,4865500,65574000.00,0.03243667,0.000811,1.0000
SH600011,2002-04-15,13.4000,13.5000,13.0000,13.1600,1346700,17767000.00,0.00897800,0.000224,1.0000
