代码,日期,开盘,最高,最低,收盘,成交量,成交额,涨数,跌数,MA1,MA2,MA3,MA4,MA5,MA6
SH000001,1990/12/19,96.05,99.98,95.79,99.98,1260,494311,8,0,,,,,,
SH000001,1990/12/20,104.3,104.39,99.98,104.39,197,84992,3,0,,,,,,
SH000001,1990/12/21,109.07,109.13,103.73,109.13,28,16096,5,0,,,,,,
SH000001,1990/12/24,113.57,114.55,109.13,114.55,32,31063,6,0,,,,,,
SH000001,1990/12/25,120.09,120.25,114.55,120.25,15,6510,5,0,109.66,,,,,
SH000001,1990/12/26,125.27,125.27,120.25,125.27,100,53730,3,0,114.718,,,,,
SH000001,1990/12/27,125.27,125.28,125.27,125.28,66,104644,1,0,118.896,,,,,
SH000001,1990/12/28,126.39,126.45,125.28,126.45,108,88031,5,0,122.36,,,,,
SH000001,1990/12/31,126.56,127.61,126.48,127.61,78,60030,5,0,124.972,,,,,
SH000001,1991/1/2,127.61,128.84,127.61,128.84,91,59098,6,0,126.69,118.175,,,,
SH000001,1991/1/3,128.84,130.14,128.84,130.14,141,93918,5,0,127.664,121.191,,,,
SH000001,1991/1/4,131.27,131.44,130.14,131.44,420,261904,5,0,128.896,123.896,,,,
SH000001,1991/1/7,131.99,132.06,131.45,132.06,217,141737,5,0,130.018,126.189,,,,
SH000001,1991/1/8,132.62,132.68,132.06,132.68,2926,1806867,6,0,131.032,128.002,,,,
SH000001,1991/1/9,133.3,133.34,132.68,133.34,5603,3228719,5,0,131.932,129.311,,,,
SH000001,1991/1/10,133.93,133.97,133.34,133.97,9990,5399457,4,1,132.698,130.181,,,,
SH000001,1991/1/11,134.61,134.61,134.51,134.6,13327,7115732,6,1,133.33,131.113,,,,
SH000001,1991/1/14,134.11,135.19,134.11,134.67,12530,6883604,4,1,133.852,131.935,,,,
SH000001,1991/1/15,134.21,134.74,134.19,134.74,1446,1010364,3,0,134.264,132.648,,,,
SH000001,1991/1/16,134.19,134.74,134.14,134.24,509,270133,3,1,134.444,133.188,125.682,,,
SH000001,1991/1/17,133.67,134.25,133.65,134.25,658,334238,2,2,134.5,133.599,127.395,,,
SH000001,1991/1/18,133.7,134.25,133.67,134.24,3004,1570833,2,3,134.428,133.879,128.887,,,
SH000001,1991/1/21,133.7,134.24,133.66,134.24,2051,1029305,2,1,134.342,134.097,130.143,,,
SH000001,1991/1/22,133.72,134.24,133.66,133.72,354,180787,3,2,134.138,134.201,131.102,,,
SH000001,1991/1/23,133.17,133.72,133.14,133.17,1095,575928,2,4,133.924,134.184,131.747,,,
SH000001,1991/1/24,132.61,133.17,132.57,132.61,1857,917392,2,4,133.596,134.048,132.115,,,
SH000001,1991/1/25,132.05,132.07,132.03,132.05,3447,1722246,2,4,133.158,133.793,132.453,,,
SH000001,1991/1/28,131.46,131.55,131.46,131.46,5107,2565573,1,3,132.602,133.472,132.704,,,
SH000001,1991/1/29,130.95,130.97,130.95,130.95,1387,710741,2,3,132.048,133.093,132.87,,,
SH000001,1991/1/30,130.44,130.95,130.41,130.44,527,260701,3,3,131.502,132.713,132.951,128.025,,
SH000001,1991/1/31,129.93,130.46,129.93,129.97,510,244662,2,3,130.974,132.285,132.942,129.025,,
SH000001,1991/2/1,129.5,129.97,129.45,129.51,345,140871,2,1,130.466,131.812,132.846,129.862,,
SH000001,1991/2/4,129.05,129.58,129.05,129.05,553,273652,2,2,129.984,131.293,132.695,130.526,,
SH000001,1991/2/5,128.56,128.58,128.53,128.58,8562,4250084,2,3,129.51,130.779,132.49,130.994,,
SH000001,1991/2/6,129.13,129.15,128.06,129.14,6641,3847268,4,1,129.25,130.376,132.28,131.29,,
SH000001,1991/2/7,129.74,129.79,129.14,129.79,2133,1504814,6,0,129.214,130.094,132.071,131.441,,
SH000001,1991/2/8,130.36,130.39,129.79,130.38,1234,879868,4,0,129.388,129.927,131.86,131.611,,
SH000001,1991/2/11,130.92,130.97,130.39,130.97,9317,4834876,4,1,129.772,129.878,131.675,131.762,,
SH000001,1991/2/12,131.54,131.56,130.97,131.35,3774,1986983,4,1,130.326,129.918,131.506,131.886,,
SH000001,1991/2/13,131.93,131.93,131.35,131.92,1152,673738,4,1,130.882,130.066,131.389,131.989,,
SH000001,1991/2/14,132.53,132.53,132.3,132.53,3624,1883072,4,1,131.43,130.322,131.303,132.069,,
SH000001,1991/2/19,133.12,133.14,133.08,133.13,1748,1216176,3,1,131.98,130.684,131.248,132.125,,
SH000001,1991/2/20,133.63,133.67,133.13,133.67,876,520724,4,1,132.52,131.146,131.219,132.179,,
SH000001,1991/2/21,134.24,134.28,133.67,134.28,3220,1771726,5,1,133.106,131.716,131.247,132.232,,
SH000001,1991/2/22,134.85,134.87,134.28,134.87,3427,2003776,5,1,133.696,132.289,131.333,132.283,,
SH000001,1991/2/25,134.37,134.87,134.33,134.4,810,621015,3,2,134.07,132.75,131.422,132.297,,
SH000001,1991/2/26,133.9,134.44,133.9,133.93,1094,2545711,3,2,134.23,133.105,131.516,132.275,,
SH000001,1991/2/27,133.44,133.98,133.44,133.47,214,141958,4,1,134.19,133.355,131.617,132.235,,
SH000001,1991/2/28,132.99,133.52,132.98,133.01,2258,1187974,4,1,133.936,133.521,131.719,132.177,,
SH000001,1991/3/1,132.53,132.53,132.47,132.53,7124,3777320,3,1,133.468,133.582,131.824,132.12,,
SH000001,1991/3/4,132.09,132.09,131.98,131.99,2518,1418017,3,3,132.986,133.528,131.925,132.045,,
SH000001,1991/3/5,131.42,131.99,131.41,131.46,982,934706,2,3,132.492,133.361,132.023,131.952,,
SH000001,1991/3/6,130.89,130.95,130.89,130.94,719,1345390,3,3,131.986,133.088,132.117,131.842,,
SH000001,1991/3/7,130.41,130.94,130.41,130.41,568,427475,1,4,131.466,132.701,132.208,131.732,,
SH000001,1991/3/8,129.84,130.41,129.84,129.89,933,541770,1,4,130.938,132.203,132.246,131.623,,
SH000001,1991/3/11,129.3,129.89,129.3,129.31,514,299524,1,5,130.402,131.694,132.222,131.513,,
SH000001,1991/3/12,128.73,129.31,128.73,128.77,957,783099,1,3,129.864,131.178,132.141,131.403,,
SH000001,1991/3/13,126.13,128.77,126.13,126.15,498,418280,1,4,128.906,130.446,131.9,131.226,,
SH000001,1991/3/14,125.61,126.15,125.61,125.63,326,242557,2,3,127.95,129.708,131.615,131.049,,
SH000001,1991/3/15,125.08,125.62,125.08,125.17,790,403520,3,3,127.006,128.972,131.277,130.873,129.449,
SH000001,1991/3/18,124.7,125.17,124.69,124.71,1250,1210411,2,4,126.086,128.244,130.886,130.698,129.861,
SH000001,1991/3/19,124.23,124.71,124.22,124.22,892,682933,2,4,125.176,127.52,130.441,130.522,130.192,
SH000001,1991/3/20,123.66,124.21,123.63,123.66,678,433147,1,5,124.678,126.792,129.94,130.342,130.434,
SH000001,1991/3/21,123.14,123.66,123.12,123.12,151,131064,1,5,124.176,126.063,129.382,130.16,130.577,
SH000001,1991/3/22,122.62,123.12,122.62,122.62,207,120129,0,4,123.666,125.336,128.77,129.943,130.617,
SH000001,1991/3/25,122.12,122.62,122.1,122.12,443,324176,1,4,123.148,124.617,128.156,129.687,130.564,
SH000001,1991/3/26,121.62,122.14,121.62,121.62,1164,709040,2,3,122.628,123.902,127.54,129.395,130.503,
SH000001,1991/3/27,121.12,121.64,121.12,121.12,668,366005,0,4,122.12,123.399,126.923,129.067,130.414,
SH000001,1991/3/28,120.65,121.15,120.61,120.61,961,505657,1,5,121.618,122.897,126.303,128.709,130.298,
SH000001,1991/3/29,120.16,120.61,120.11,120.19,2185,2186180,4,2,121.132,122.399,125.686,128.318,130.153,
SH000001,1991/4/1,120.69,120.73,119.68,120.73,11999,5666672,6,1,120.854,122.001,125.123,127.924,129.997,
SH000001,1991/4/2,121.21,121.29,120.73,121.21,816,387611,4,2,120.772,121.7,124.61,127.527,129.826,
SH000001,1991/4/3,121.71,121.71,121.21,121.71,2063,977171,4,1,120.89,121.505,124.148,127.128,129.654,
SH000001,1991/4/4,122.2,122.2,121.24,121.72,10517,5045893,5,2,121.112,121.365,123.714,126.71,129.471,
SH000001,1991/4/5,121.07,121.73,121.03,121.54,11589,6035557,3,2,121.382,121.257,123.297,126.265,129.274,
SH000001,1991/4/8,121.11,121.11,121.05,121.09,1862,1675834,3,4,121.454,121.154,122.885,125.822,129.059,
SH000001,1991/4/9,120.6,121.1,120.6,120.62,320,297122,2,5,121.336,121.054,122.478,125.378,128.827,
SH000001,1991/4/10,120.15,120.62,120.09,120.16,466,281235,2,5,121.026,120.958,122.178,124.934,128.585,
SH000001,1991/4/11,119.64,120.16,119.62,119.64,239,576817,2,4,120.61,120.861,121.879,124.489,128.333,
SH000001,1991/4/12,119.2,119.65,119.15,119.21,399,301333,2,3,120.144,120.763,121.581,124.045,128.083,
SH000001,1991/4/15,118.73,119.22,118.72,118.77,301,386981,3,3,119.68,120.567,121.284,123.604,127.825,
SH000001,1991/4/16,118.36,118.77,118.34,118.34,105,177216,2,4,119.224,120.28,120.99,123.167,127.56,
SH000001,1991/4/17,117.92,118.34,117.89,117.9,201,259495,2,4,118.772,119.899,120.702,122.732,127.287,
SH000001,1991/4/18,117.45,117.93,117.45,117.45,178,133927,1,5,118.334,119.472,120.419,122.3,127.016,
SH000001,1991/4/19,117.08,117.5,117.05,117.08,646,424675,4,2,117.908,119.026,120.142,121.873,126.748,
SH000001,1991/4/22,116.63,117.08,116.58,116.63,430,321322,2,4,117.48,118.58,119.867,121.45,126.481,
SH000001,1991/4/23,116.21,116.63,116.15,116.19,282,264379,1,4,117.05,118.137,119.595,121.031,126.217,
SH000001,1991/4/24,115.7,116.19,115.7,115.79,148,121786,2,3,116.628,117.7,119.329,120.686,125.956,
SH000001,1991/4/25,115.38,115.79,115.33,115.36,1495,998928,2,4,116.21,117.272,119.066,120.343,125.696,
SH000001,1991/4/26,116.31,116.31,114.52,115.56,13354,5806770,5,2,115.906,116.907,118.835,120.023,125.448,
SH000001,1991/4/29,114.86,116.29,114.75,114.75,8411,3610730,2,3,115.53,116.505,118.536,119.691,125.195,
SH000001,1991/4/30,113.89,114.87,113.89,113.94,4850,2734172,4,3,115.08,116.065,118.173,119.348,124.935,
SH000001,1991/5/2,113.04,113.2,113.03,113.16,1465,1124048,4,3,114.554,115.591,117.745,118.998,124.67,
SH000001,1991/5/3,112.46,113.17,112.3,112.41,4230,2386862,2,3,113.964,115.087,117.28,118.641,124.401,
SH000001,1991/5/6,111.65,112.41,111.57,111.61,2764,1423590,2,5,113.174,114.54,116.783,118.274,124.108,
SH000001,1991/5/7,110.8,110.9,110.8,110.82,1875,907005,2,4,112.388,113.959,116.27,117.898,123.792,
SH000001,1991/5/8,110.16,110.82,110,110.03,423,375190,1,5,111.606,113.343,115.74,117.511,123.453,
SH000001,1991/5/9,109.36,110.12,109.31,109.29,2255,1215566,4,40,110.832,112.693,115.197,117.117,123.092,
SH000001,1991/5/10,108.61,109.4,108.53,108.53,249,313181,3,4,110.056,112.01,114.641,116.714,122.712,
SH000001,1991/5/13,107.88,107.88,107.74,107.84,235,182296,2,4,109.302,111.238,114.073,116.303,122.31,
SH000001,1991/5/14,107.21,107.84,107.06,107.19,267,185380,3,2,108.576,110.482,113.493,115.851,121.888,
SH000001,1991/5/15,106.56,106.6,106.42,106.57,390,307736,3,2,107.884,109.745,112.905,115.363,121.445,
SH000001,1991/5/16,105.83,105.86,105.69,105.77,3108,1445855,2,5,107.18,109.006,112.299,114.832,120.98,
SH000001,1991/5/17,105.12,106.75,104.96,106.75,20192,7633140,6,1,106.824,108.44,111.764,114.333,120.521,
SH000001,1991/5/20,107.76,107.82,106.71,107.82,863,924212,7,0,106.82,108.061,111.3,113.876,120.071,
SH000001,1991/5/21,108.89,108.89,108.62,108.81,771,1309557,6,1,107.144,107.86,110.91,113.466,119.644,
SH000001,1991/5/22,109.71,109.82,108.11,108.25,18677,7967008,5,2,107.48,107.682,110.512,113.054,119.216,
SH000001,1991/5/23,107.52,109.16,107.35,109.08,5609,2770507,4,3,108.142,107.661,110.177,112.685,118.81,
SH000001,1991/5/24,110.07,110.08,109.82,110.08,1024,661006,6,1,108.808,107.816,109.913,112.366,118.427,
SH000001,1991/5/27,111.05,111.07,109.47,110.66,8619,3827789,5,2,109.376,108.098,109.668,112.081,118.063,
SH000001,1991/5/28,111.61,111.68,111.36,111.68,1630,970461,6,1,109.95,108.547,109.515,111.845,117.724,
SH000001,1991/5/29,112.75,112.75,111.67,112.75,530,1320629,7,0,110.85,109.165,109.455,111.658,117.412,
SH000001,1991/5/30,113.74,113.82,112.77,113.82,388,753456,7,0,111.798,109.97,109.488,111.522,117.127,
SH000001,1991/5/31,114.83,114.83,113.84,114.83,1211,1470487,5,0,112.748,110.778,109.609,111.435,116.868,
SH000001,1991/6/3,115.9,115.97,114.89,115.97,954,1643078,6,0,113.81,111.593,109.827,111.398,116.635,
SH000001,1991/6/4,117.12,117.12,116.83,117.12,3603,2018633,7,0,114.898,112.424,110.142,111.414,116.432,
SH000001,1991/6/5,118.17,118.17,117.14,118.17,308,279283,5,0,115.982,113.416,110.549,111.48,116.256,
SH000001,1991/6/6,119.26,119.33,118.17,119.35,266,160508,8,0,117.088,114.443,111.052,111.599,116.142,
SH000001,1991/6/7,120.46,120.47,119.35,120.47,100,83206,6,0,118.216,115.482,111.649,111.769,116.056,
SH000001,1991/6/10,121.65,121.67,120.47,121.67,400,458929,7,0,119.356,116.583,112.34,111.973,115.998,122.724
SH000001,1991/6/11,122.89,122.89,121.67,122.89,543,375012,7,0,120.51,117.704,113.126,112.244,115.968,122.915
SH000001,1991/6/12,123.9,124.11,122.89,124.11,1372,735371,7,0,121.698,118.84,114.003,112.583,115.966,123.079
SH000001,1991/6/13,125.33,125.34,123.65,125.34,20868,11563763,7,0,122.896,119.992,114.981,112.989,115.994,123.214
SH000001,1991/6/14,124.47,126.34,124.47,124.53,6633,3541098,3,4,123.708,120.962,115.87,113.393,116.017,123.297
SH000001,1991/6/17,125.63,125.77,123.54,125.77,6933,4056679,7,0,124.528,121.942,116.768,113.865,116.07,123.343
SH000001,1991/6/18,127.03,127.03,126.67,127.03,2030,1015149,7,0,125.356,122.933,117.678,114.406,116.152,123.358
SH000001,1991/6/19,128.12,128.29,127.03,128.29,1481,744123,6,0,126.192,123.945,118.68,115.014,116.263,123.383
SH000001,1991/6/20,129.55,129.57,129.21,129.57,2299,1321261,7,0,127.038,124.967,119.705,115.69,116.404,123.409
SH000001,1991/6/21,130.72,130.86,128.81,130.86,13613,7746480,7,0,128.304,126.006,120.744,116.435,116.575,123.436
SH000001,1991/6/24,132.1,132.17,131.8,132.17,1960,1657788,6,0,129.584,127.056,121.819,117.246,116.774,123.464
SH000001,1991/6/25,133.48,133.49,132.17,133.49,1624,1296047,7,0,130.876,128.116,122.91,118.122,116.987,123.492
SH000001,1991/6/26,134.83,134.83,133.49,134.83,3409,2149983,7,0,132.184,129.188,124.014,119.064,117.214,123.52
SH000001,1991/6/27,136.04,136.19,134.83,136.19,4497,2521206,7,0,133.508,130.273,125.132,120.078,117.455,123.554
SH000001,1991/6/28,137.41,137.56,136.19,137.56,4935,3032950,7,0,134.848,131.576,126.269,121.105,117.719,123.595
SH000001,1991/7/1,136.64,138.62,136.56,136.85,22940,12469884,4,3,135.784,132.684,127.313,122.073,117.974,123.624
SH000001,1991/7/2,135.91,135.96,135.69,135.96,2838,3794100,3,4,136.278,133.577,128.255,122.978,118.222,123.641
SH000001,1991/7/3,135.28,135.96,134.98,135.27,2715,1818504,4,3,136.366,134.275,129.11,123.879,118.466,123.646
SH000001,1991/7/4,136.63,136.63,134.19,136.63,13394,8095138,7,0,136.454,134.981,129.974,124.797,118.741,123.663
SH000001,1991/7/5,136.01,137.68,135.9,135.96,14540,9394861,4,3,136.134,135.491,130.749,125.66,119.013,123.673
SH000001,1991/7/8,135.26,135.28,134.93,135.28,5874,2925933,4,3,135.82,135.802,131.429,126.48,119.281,123.682
SH000001,1991/7/9,136.56,136.57,134.31,134.64,8442,4174836,4,3,135.556,135.917,132.016,127.246,119.545,123.685
SH000001,1991/7/10,134.4,135.6,133.72,133.99,6023,2894591,4,3,135.3,135.833,132.51,127.954,119.806,123.683
SH000001,1991/7/11,133.22,133.99,133.13,133.38,5073,2417896,4,3,134.65,135.552,132.913,128.606,120.064,123.676
SH000001,1991/7/12,132.8,133.38,132.42,132.8,3144,1484090,5,2,134.018,135.076,133.326,129.205,120.32,123.668
SH000001,1991/7/15,133.9,134.1,131.87,133.14,11938,5534900,6,1,133.59,134.705,133.695,129.777,120.588,123.668
SH000001,1991/7/16,134.39,134.47,133.14,134.47,2796,1328502,7,0,133.556,134.556,134.066,130.355,120.885,123.683
SH000001,1991/7/17,135.81,135.81,135.39,135.81,660,397524,6,0,133.92,134.61,134.443,130.943,121.212,123.715
SH000001,1991/7/18,137.17,137.17,135.81,137.17,847,464416,7,0,134.678,134.664,134.823,131.537,121.568,123.762
SH000001,1991/7/19,137.66,138.54,136.66,136.7,10823,5242826,6,1,135.458,134.738,135.115,132.078,121.924,123.81
SH000001,1991/7/22,138.07,138.07,136.7,138.07,2764,1423205,7,0,136.444,135.017,135.41,132.625,122.299,123.874
SH000001,1991/7/23,139.35,139.39,138.07,139.39,7241,3548584,7,0,137.428,135.492,135.704,133.175,122.71,123.952
SH000001,1991/7/24,140.66,140.74,138.69,140.68,5988,2901485,6,0,138.402,136.161,135.997,133.727,123.155,124.045
SH000001,1991/7/25,140.2,141.01,139.99,140.19,8390,4080885,6,1,139.006,136.842,136.197,134.222,123.606,124.138
SH000001,1991/7/26,140.11,141.46,139.27,140.66,9279,4520783,5,0,139.798,137.628,136.352,134.76,124.077,124.239
SH000001,1991/7/29,141.22,141.72,140.81,141.52,4771,2350293,6,0,140.488,138.466,136.585,135.285,124.575,124.342
SH000001,1991/7/30,142.39,142.45,141.39,142.39,5601,2718049,6,0,141.088,139.258,136.907,135.797,125.101,124.447
SH000001,1991/7/31,143.72,143.8,142.39,143.8,4051,1993205,6,0,141.712,140.057,137.333,136.314,125.664,124.559
SH000001,1991/8/1,145.12,145.24,143.8,145.24,4731,2310502,6,0,142.722,140.864,137.764,136.836,126.263,124.678
SH000001,1991/8/2,146.49,146.68,145.44,146.68,11744,5825142,7,0,143.926,141.862,138.3,137.364,126.899,124.805
SH000001,1991/8/5,148.06,148.15,146.68,148.15,5126,2593974,7,0,145.252,142.87,138.943,137.896,127.571,124.941
SH000001,1991/8/6,149.62,149.62,148.15,149.62,2001,1065505,7,0,146.698,143.893,139.693,138.434,128.278,125.083
SH000001,1991/8/7,150.93,151.12,149.62,151.12,1107,580236,6,0,148.162,144.937,140.549,138.977,129.021,125.233
SH000001,1991/8/8,152.57,152.61,151.12,152.61,1951,1045377,6,0,149.636,146.179,141.51,139.524,129.801,125.391
SH000001,1991/8/9,153.9,154.1,152.61,154.1,3715,1990447,5,0,151.12,147.523,142.576,140.076,130.59,125.556
SH000001,1991/8/12,155.34,155.54,154.1,155.54,3919,2154199,6,0,152.598,148.925,143.695,140.699,131.386,125.728
SH000001,1991/8/13,156.87,157.07,155.54,157.07,20039,10529728,5,0,154.088,150.393,144.826,141.402,132.19,125.917
SH000001,1991/8/14,158.3,158.63,158.11,158.63,5480,2929235,7,0,155.59,151.876,145.967,142.181,133.03,126.123
SH000001,1991/8/15,159.92,160.21,158.63,160.21,1537,850781,6,0,157.11,153.373,147.118,142.967,133.882,126.346
SH000001,1991/8/16,161.56,161.6,160.21,161.6,984,581335,6,0,158.61,154.865,148.363,143.822,134.741,126.584
SH000001,1991/8/19,163.21,163.21,161.6,163.21,985,614977,6,0,160.144,156.371,149.62,144.753,135.617,126.84
SH000001,1991/8/20,164.74,164.84,163.21,164.84,573,388263,6,0,161.698,157.893,150.893,145.759,136.503,127.113
SH000001,1991/8/21,166.49,166.49,164.84,166.49,3411,2106363,7,0,163.27,159.43,152.184,146.843,137.398,127.405
SH000001,1991/8/22,167.81,168.16,166.49,168.16,1296,845656,7,0,164.86,160.985,153.582,148.002,138.304,127.715
SH000001,1991/8/23,169.81,169.81,168.16,169.81,605,502645,6,0,166.502,162.556,155.04,149.236,139.22,128.044
SH000001,1991/8/26,171.51,171.51,169.81,171.51,643,518093,5,2,168.162,164.153,156.539,150.515,140.146,128.391
SH000001,1991/8/27,173.06,173.19,171.51,173.19,796,520954,6,0,169.832,165.765,158.079,151.805,141.08,128.756
SH000001,1991/8/28,174.82,174.92,173.19,174.92,804,511434,6,0,171.518,167.394,159.635,153.109,142.026,129.141
SH000001,1991/8/29,176.53,176.66,174.92,176.66,2608,1629096,6,0,173.218,169.039,161.206,154.425,142.981,129.562
SH000001,1991/8/30,178.2,178.43,176.66,178.43,6759,4219163,6,0,174.942,170.722,162.794,155.816,143.947,130.002
SH000001,1991/9/2,180.08,180.22,178.43,180.22,1408,886865,6,0,176.684,172.423,164.397,157.221,144.923,130.461
SH000001,1991/9/3,181.71,181.97,180.22,181.97,1475,940258,6,0,178.44,174.136,166.014,158.641,145.908,130.938
SH000001,1991/9/4,183.66,183.69,181.97,183.69,650,470005,7,0,180.194,175.856,167.643,160.074,146.901,131.433
SH000001,1991/9/5,185.48,185.51,183.69,185.51,1514,1095242,6,0,181.964,177.591,169.288,161.585,147.904,131.949
SH000001,1991/9/6,187.09,187.36,185.51,187.36,2765,1761317,7,0,183.75,179.346,170.951,163.142,148.951,132.484
SH000001,1991/9/9,189.1,189.24,187.36,189.24,3552,2349562,7,0,185.554,181.119,172.636,164.732,150.009,133.039
SH000001,1991/9/10,190.98,190.98,188.19,188.33,33434,21507836,5,2,186.826,182.633,174.199,166.264,151.03,133.591
SH000001,1991/9/11,187.29,187.29,186.86,187.22,21392,14677350,3,4,187.532,183.863,175.628,167.711,152.012,134.138
SH000001,1991/9/12,186.22,187.4,186.07,186.22,19699,16265671,4,3,187.674,184.819,176.929,169.077,152.957,134.68
SH000001,1991/9/13,188,188.04,185.01,187.79,37434,24035038,6,1,187.76,185.755,178.238,170.447,153.906,135.24
SH000001,1991/9/16,189.55,189.66,187.79,189.66,9933,6343151,6,0,187.844,186.699,179.561,171.831,154.864,135.819
SH000001,1991/9/17,191.16,191.18,188.28,188.65,28829,18623898,4,3,187.908,187.367,180.751,173.132,155.783,136.385
SH000001,1991/9/18,187.26,188.59,187.18,187.63,15822,11015637,3,2,187.99,187.761,181.809,174.349,156.663,136.938
SH000001,1991/9/19,187.65,189.21,186.49,186.88,23439,14607546,4,2,188.122,187.898,182.745,175.491,157.508,137.482
SH000001,1991/9/20,185.77,187.21,185.66,185.92,12075,7417594,3,3,187.748,187.754,183.55,176.552,158.314,138.016
SH000001,1991/9/23,185,185.92,184.71,185,4034,2806673,4,3,186.816,187.33,184.225,177.534,159.116,138.545
SH000001,1991/9/24,183.96,185.04,183.69,184.08,1426,1002714,4,3,185.902,186.905,184.769,178.434,159.918,139.07
SH000001,1991/9/25,182.8,184.08,182.8,183.19,1389,934108,4,3,185.014,186.502,185.182,179.253,160.717,139.592
SH000001,1991/9/26,182.21,183.19,181.93,182.33,6541,4620152,4,3,184.104,186.113,185.466,179.99,161.479,140.11
SH000001,1991/9/27,183.12,183.89,181.19,181.82,33728,20416480,3,3,183.284,185.516,185.635,180.664,162.243,140.628
SH000001,1991/9/30,180.28,181.95,180.27,180.92,25594,22336016,3,4,182.468,184.642,185.671,181.255,163.004,141.142
SH000001,1991/10/3,181.55,182.48,179.8,182.48,18741,12329971,6,1,182.148,184.025,185.696,181.843,163.801,141.673
SH000001,1991/10/4,184.29,184.29,183.59,184.29,7360,5039959,6,0,182.368,183.691,185.726,182.436,164.639,142.223
SH000001,1991/10/7,185.95,186,185.41,186,11369,7291196,7,0,183.102,183.603,185.751,183.031,165.516,142.79
SH000001,1991/10/8,187.59,187.61,186,187.49,23745,15241554,4,2,184.236,183.76,185.757,183.62,166.428,143.374
SH000001,1991/10/9,188.49,189.12,186.31,189.12,20989,13440129,6,1,185.876,184.172,185.751,184.207,167.361,143.974
SH000001,1991/10/10,190.71,191.01,189.12,191.01,6638,4333536,7,0,187.582,184.865,185.885,184.801,168.303,144.594
SH000001,1991/10/11,192.84,192.88,191.01,192.85,10981,7251750,7,0,189.294,185.831,186.167,185.399,169.254,145.233
SH000001,1991/10/14,194.06,194.69,192.32,194.67,21493,13948029,6,1,191.028,187.065,186.589,185.999,170.212,145.89
SH000001,1991/10/15,196.58,196.61,194.67,196.61,11002,7265197,7,0,192.852,188.544,187.03,186.605,171.211,146.567
SH000001,1991/10/16,198.51,198.57,196.61,198.57,9562,6273991,7,0,194.742,190.309,187.475,187.217,172.219,147.259
SH000001,1991/10/17,200.5,200.51,198.57,200.51,6077,4136314,6,0,196.642,192.112,188.068,187.835,173.238,147.974
SH000001,1991/10/18,202.5,202.51,200.51,202.51,2968,2384097,7,0,198.574,193.934,188.813,188.462,174.268,148.712
SH000001,1991/10/21,204.53,204.53,202.51,204.53,3537,2514336,6,0,200.546,195.787,189.695,189.096,175.34,149.473
SH000001,1991/10/22,206.06,206.53,204.53,206.53,2128,1521146,5,0,202.53,197.691,190.725,189.735,176.438,150.258
SH000001,1991/10/23,208.06,208.25,206.53,208.25,2623,1980087,5,0,204.466,199.604,191.888,190.369,177.551,151.063
SH000001,1991/10/24,210.2,210.2,208.25,210.07,19357,13174235,6,1,206.378,201.51,193.188,191.093,178.678,151.89
SH000001,1991/10/25,210.34,211.97,209.71,211.86,32650,22263148,5,0,208.248,203.411,194.621,191.915,179.813,152.738
SH000001,1991/10/28,213.5,213.98,211.86,213.98,3217,2357941,7,0,210.138,205.342,196.204,192.84,180.958,153.611
SH000001,1991/10/29,215.63,215.78,213.98,215.78,2697,2069665,6,0,211.988,207.259,197.902,193.773,182.11,154.505
SH000001,1991/10/30,216.37,216.43,215.78,216.43,2380,1814463,6,0,213.624,209.045,199.677,194.665,183.248,155.41
SH000001,1991/10/31,218.59,218.6,216.43,218.6,3929,2914654,7,0,215.33,210.854,201.483,195.664,184.398,156.338
SH000001,1991/11/1,220.71,220.72,218.6,220.72,5906,4313355,6,0,217.102,212.675,203.305,196.767,185.558,157.289
SH000001,1991/11/4,222.77,222.77,220.79,222.77,4474,3352291,7,0,218.86,214.499,205.143,197.963,186.727,158.264
SH000001,1991/11/5,224.44,224.65,222.77,224.65,2805,2225605,6,0,220.634,216.311,207.001,199.254,187.903,159.247
SH000001,1991/11/6,226.83,226.88,224.65,226.88,2848,2188148,6,0,222.724,218.174,208.889,200.65,189.092,160.239
SH000001,1991/11/7,228.93,228.93,226.88,228.93,4833,4085072,6,0,224.79,220.06,210.785,202.145,190.29,161.24
SH000001,1991/11/8,230.99,231.22,228.93,231.22,14406,11039106,7,0,226.89,221.996,212.704,203.746,191.499,162.265
SH000001,1991/11/11,233.48,233.55,231.22,233.55,2474,2130826,7,0,229.046,223.953,214.648,205.453,192.722,163.302
SH000001,1991/11/12,235.75,235.8,233.55,235.8,895,914377,6,0,231.276,225.955,216.607,207.253,193.958,164.35
SH000001,1991/11/13,236.51,236.67,235.8,236.67,799,879975,6,0,233.234,227.979,218.512,209.111,195.183,165.4
SH000001,1991/11/14,237.39,237.45,236.67,237.45,862,940119,4,0,234.938,229.864,220.359,210.943,196.393,166.448
SH000001,1991/11/15,238.25,238.25,237.45,238.25,2058,1914795,4,0,236.344,231.617,222.146,212.742,197.589,167.494
SH000001,1991/11/18,240.04,240.62,238.25,240.62,1885,1534361,6,0,237.758,233.402,223.951,214.563,198.797,168.55
SH000001,1991/11/19,242.24,242.24,240.62,242.24,2310,2040941,3,0,239.046,235.161,225.736,216.388,200.004,169.612
SH000001,1991/11/20,244.5,244.5,242.24,244.5,2325,1929087,6,0,240.612,236.923,227.548,218.234,201.22,170.683
