代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SZ000832,1998-08-25,10.0000,10.3000,9.0500,9.1700,29025700,275157272.00,0.48376167,0.127868,1.0000
SZ000832,1998-08-26,9.0800,9.3300,8.8000,8.8200,7382200,66587107.00,0.12303667,0.032521,1.0000
SZ000832,1998-08-27,8.8000,9.5800,8.7200,9.4300,12582500,117376581.00,0.20970833,0.055430,1.0000
SZ000832,1998-08-28,9.2300,9.4500,8.9500,9.0800,4382600,40274234.00,0.07304333,0.019307,1.0000
SZ000832,1998-08-31,9.0100,9.8000,8.8500,9.6900,8422600,79303449.00,0.14037667,0.037104,1.0000
SZ000832,1998-09-01,9.5900,9.8500,9.3000,9.4100,6448900,61917195.00,0.10748167,0.028410,1.0000
SZ000832,1998-09-02,9.3500,9.5500,9.2100,9.2700,3601900,33668394.00,0.06003167,0.015868,1.0000
SZ000832,1998-09-03,9.2700,9.4500,9.1600,9.2900,2209200,20504358.00,0.03682000,0.009732,1.0000
SZ000832,1998-09-04,9.4000,9.5100,9.3000,9.3600,2436600,22922765.00,0.04061000,0.010734,1.0000
SZ000832,1998-09-07,9.4500,9.6900,9.4400,9.6200,3869300,37109106.00,0.06448833,0.017046,1.0000
SZ000832,1998-09-08,9.6500,9.6800,9.2500,9.2700,3539500,33294176.00,0.05899167,0.015593,1.0000
SZ000832,1998-09-09,9.2800,9.6400,9.2700,9.6100,2910500,27372962.00,0.04850833,0.012822,1.0000
SZ000832,1998-09-10,9.6000,9.9500,9.5100,9.7700,6879100,67274833.00,0.11465167,0.030305,1.0000
SZ000832,1998-09-11,9.8000,9.8900,9.5700,9.6800,4697500,45475204.00,0.07829167,0.020694,1.0000
SZ000832,1998-09-14,9.7000,10.0800,9.7000,9.8500,4300100,42652804.00,0.07166833,0.018943,1.0000
SZ000832,1998-09-15,9.8600,9.8900,9.6000,9.6500,3138200,30482432.00,0.05230333,0.013825,1.0000
SZ000832,1998-09-16,9.6000,10.0800,9.6000,9.8800,3299300,32447790.00,0.05498833,0.014535,1.0000
SZ000832,1998-09-17,9.9500,10.0800,9.4500,9.6200,3593900,34990257.00,0.05989833,0.015832,1.0000
SZ000832,1998-09-18,9.5500,9.6300,9.2100,9.2800,2610400,24471896.00,0.04350667,0.011500,1.0000
SZ000832,1998-09-21,9.1500,9.4000,9.1100,9.3900,1627300,15100623.00,0.02712167,0.007169,1.0000
SZ000832,1998-09-22,9.4000,9.4500,9.2700,9.3200,1205200,11228311.00,0.02008667,0.005309,1.0000
SZ000832,1998-09-23,9.3000,9.4000,9.2500,9.3500,906000,8435350.00,0.01510000,0.003991,1.0000
SZ000832,1998-09-24,9.3200,9.5500,9.3000,9.3100,1367300,12863957.00,0.02278833,0.006023,1.0000
SZ000832,1998-09-25,9.2100,9.3800,9.1000,9.3600,1133500,10453872.00,0.01889167,0.004993,1.0000
SZ000832,1998-09-28,9.3100,9.4500,9.1800,9.2600,889800,8253953.00,0.01483000,0.003920,1.0000
SZ000832,1998-09-29,9.2800,9.4100,9.2000,9.2400,683700,6342900.00,0.01139500,0.003012,1.0000
SZ000832,1998-09-30,9.3000,9.3500,9.2500,9.3100,702900,6534206.00,0.01171500,0.003097,1.0000
SZ000832,1998-10-05,9.3000,9.3100,9.1700,9.1900,648700,5974898.00,0.01081167,0.002858,1.0000
SZ000832,1998-10-06,9.1700,9.2100,8.9100,8.9600,1301100,11741734.00,0.02168500,0.005732,1.0000
SZ000832,1998-10-07,8.9800,9.0800,8.8100,8.8800,941200,8372515.00,0.01568667,0.004146,1.0000
SZ000832,1998-10-08,8.8800,9.0600,8.8800,8.9300,725200,6484014.00,0.01208667,0.003195,1.0000
SZ000832,1998-10-09,9.0500,9.0500,8.8900,8.9800,553300,4954709.00,0.00922167,0.002437,1.0000
SZ000832,1998-10-12,9.0500,9.0500,8.8000,9.0000,990700,8787984.00,0.01651167,0.004364,1.0000
SZ000832,1998-10-13,9.0000,9.1400,9.0000,9.0800,804200,7285161.00,0.01340333,0.003543,1.0000
SZ000832,1998-10-14,9.0800,9.1200,8.8700,8.8700,603500,5383457.00,0.01005833,0.002659,1.0000
SZ000832,1998-10-15,8.8700,9.0000,8.8500,8.9400,819300,7283566.00,0.01365500,0.003609,1.0000
SZ000832,1998-10-16,8.9500,9.1900,8.9500,9.1000,926600,8441447.00,0.01544333,0.004082,1.0000
SZ000832,1998-10-19,9.1000,9.2500,9.0500,9.2200,1062500,9710071.00,0.01770833,0.004681,1.0000
SZ000832,1998-10-20,9.2300,9.2600,8.9600,9.0100,626300,5688714.00,0.01043833,0.002759,1.0000
SZ000832,1998-10-21,9.0000,9.0000,8.7300,8.7400,1043800,9217665.00,0.01739667,0.004598,1.0000
SZ000832,1998-10-22,8.7300,8.8200,8.5100,8.7700,1104900,9548251.00,0.01841500,0.004867,1.0000
SZ000832,1998-10-23,8.7900,8.8500,8.5800,8.6600,828100,7216009.00,0.01380167,0.003648,1.0000
SZ000832,1998-10-26,8.6900,8.6900,8.4100,8.5000,1036700,8817539.00,0.01727833,0.004567,1.0000
SZ000832,1998-10-27,8.4800,8.8500,8.4800,8.8000,805800,7037791.00,0.01343000,0.003550,1.0000
SZ000832,1998-10-28,8.8000,8.8800,8.6800,8.8200,712800,6273706.00,0.01188000,0.003140,1.0000
SZ000832,1998-10-29,8.8300,9.1000,8.7600,9.0400,1429500,12853015.00,0.02382500,0.006297,1.0000
SZ000832,1998-10-30,9.0200,9.1000,8.7900,8.8200,756000,6772250.00,0.01260000,0.003330,1.0000
SZ000832,1998-11-02,8.8000,8.8500,8.6800,8.7900,587300,5145003.00,0.00978833,0.002587,1.0000
SZ000832,1998-11-03,8.8100,9.1000,8.8100,9.0100,837900,7543247.00,0.01396500,0.003691,1.0000
SZ000832,1998-11-04,9.0000,9.1200,8.9000,8.9600,564800,5077559.00,0.00941333,0.002488,1.0000
SZ000832,1998-11-05,8.9600,9.2800,8.9100,9.2600,1481700,13581063.00,0.02469500,0.006527,1.0000
SZ000832,1998-11-06,9.3200,9.3800,9.1000,9.1700,1395300,12887616.00,0.02325500,0.006147,1.0000
SZ000832,1998-11-09,9.2000,9.2800,9.0800,9.2600,1312000,12068759.00,0.02186667,0.005780,1.0000
SZ000832,1998-11-10,9.2500,9.4600,9.2100,9.3000,1160900,10816428.00,0.01934833,0.005114,1.0000
SZ000832,1998-11-11,9.3000,9.3800,9.2000,9.2400,824300,7639736.00,0.01373833,0.003631,1.0000
SZ000832,1998-11-12,9.1800,9.3000,9.0500,9.1000,1383800,12643761.00,0.02306333,0.006096,1.0000
SZ000832,1998-11-13,9.0100,9.1900,8.9800,9.1500,983400,8939798.00,0.01639000,0.004332,1.0000
SZ000832,1998-11-16,9.1800,9.3500,9.1000,9.2300,883000,8147798.00,0.01471667,0.003890,1.0000
SZ000832,1998-11-17,9.3000,9.3400,9.0600,9.1000,606300,5544271.00,0.01010500,0.002671,1.0000
SZ000832,1998-11-18,9.1000,9.1600,9.0500,9.1200,637400,5797723.00,0.01062333,0.002808,1.0000
SZ000832,1998-11-19,9.1100,9.3500,9.0600,9.2700,1061100,9812665.00,0.01768500,0.004674,1.0000
SZ000832,1998-11-20,9.2600,9.5600,9.2000,9.4300,2332600,22051952.00,0.03887667,0.010276,1.0000
SZ000832,1998-11-23,9.4800,9.6400,9.4000,9.4000,1715200,16338990.00,0.02858667,0.007556,1.0000
SZ000832,1998-11-24,9.4100,9.4700,9.3300,9.3900,949800,8906216.00,0.01583000,0.004184,1.0000
SZ000832,1998-11-25,9.4600,9.4700,9.1500,9.2000,854300,7917159.00,0.01423833,0.003763,1.0000
SZ000832,1998-11-26,9.2000,9.2500,9.0800,9.1000,579700,5308509.00,0.00966167,0.002554,1.0000
SZ000832,1998-11-27,9.0500,9.1600,8.8800,8.8900,841200,7577742.00,0.01402000,0.003706,1.0000
SZ000832,1998-11-30,8.8100,9.0900,8.8100,9.0200,461700,4125839.00,0.00769500,0.002034,1.0000
SZ000832,1998-12-01,9.0200,9.0200,8.9000,8.9000,384100,3433277.00,0.00640167,0.001692,1.0000
SZ000832,1998-12-02,8.8000,9.0500,8.8000,9.0300,401100,3594402.00,0.00668500,0.001767,1.0000
SZ000832,1998-12-03,9.0100,9.0800,8.9000,8.9000,269000,2412641.00,0.00448333,0.001185,1.0000
SZ000832,1998-12-04,8.9000,9.2600,8.9000,9.1000,1070200,9725359.00,0.01783667,0.004715,1.0000
SZ000832,1998-12-07,9.2800,9.3100,9.0000,9.0300,538100,4912968.00,0.00896833,0.002371,1.0000
SZ000832,1998-12-08,9.1000,9.1800,9.0000,9.1300,320700,2911607.00,0.00534500,0.001413,1.0000
SZ000832,1998-12-09,9.0100,9.1800,9.0100,9.0600,171400,1555366.00,0.00285667,0.000755,1.0000
SZ000832,1998-12-10,9.0600,9.0600,8.8200,8.8300,383400,3416370.00,0.00639000,0.001689,1.0000
SZ000832,1998-12-11,8.7900,8.9800,8.3000,8.9600,487900,4258274.00,0.00813167,0.002149,1.0000
SZ000832,1998-12-14,9.0000,9.0000,8.6800,8.6900,259300,2283708.00,0.00432167,0.001142,1.0000
SZ000832,1998-12-15,8.6500,8.7500,8.5100,8.7400,459300,3958975.00,0.00765500,0.002023,1.0000
SZ000832,1998-12-16,8.7900,8.8000,8.6600,8.6600,256300,2234370.00,0.00427167,0.001129,1.0000
SZ000832,1998-12-17,8.6000,8.6300,8.5000,8.5000,450400,3845659.00,0.00750667,0.001984,1.0000
SZ000832,1998-12-18,8.4200,8.6000,8.4100,8.4600,302500,2566321.00,0.00504167,0.001333,1.0000
SZ000832,1998-12-21,8.4400,8.5500,8.3500,8.3800,264200,2226698.00,0.00440333,0.001164,1.0000
SZ000832,1998-12-22,8.3900,8.7900,8.3800,8.7500,408200,3518316.00,0.00680333,0.001798,1.0000
SZ000832,1998-12-23,8.7000,8.7500,8.5500,8.6000,289800,2501176.00,0.00483000,0.001277,1.0000
SZ000832,1998-12-24,8.6000,8.6000,8.4900,8.5300,184900,1576435.00,0.00308167,0.000815,1.0000
SZ000832,1998-12-25,8.5500,8.7300,8.5500,8.5800,158800,1369561.00,0.00264667,0.000700,1.0000
SZ000832,1998-12-28,8.6000,8.7000,8.5000,8.5000,254300,2172273.00,0.00423833,0.001120,1.0000
SZ000832,1998-12-29,8.4300,8.6000,8.4000,8.4000,304600,2577480.00,0.00507667,0.001342,1.0000
SZ000832,1998-12-30,8.4200,8.5200,8.3000,8.5200,417600,3505934.00,0.00696000,0.001840,1.0000
SZ000832,1998-12-31,8.5000,8.5400,8.3500,8.3500,228900,1931146.00,0.00381500,0.001008,1.0000
SZ000832,1999-01-04,8.3400,8.4000,8.0200,8.0400,402800,3292778.00,0.00671333,0.001774,1.0000
SZ000832,1999-01-05,7.9500,8.1500,7.9300,8.1400,334900,2689729.00,0.00558167,0.001475,1.0000
SZ000832,1999-01-06,8.1200,8.2500,8.0200,8.1400,247700,2025657.00,0.00412833,0.001091,1.0000
SZ000832,1999-01-07,8.1000,8.2700,8.0600,8.1800,231700,1890123.00,0.00386167,0.001021,1.0000
SZ000832,1999-01-08,8.1800,8.4000,8.1700,8.3700,284600,2372071.00,0.00474333,0.001254,1.0000
SZ000832,1999-01-11,8.3800,8.4000,8.2500,8.4000,308500,2562671.00,0.00514167,0.001359,1.0000
SZ000832,1999-01-12,8.3700,8.3700,8.1700,8.1700,264200,2185772.00,0.00440333,0.001164,1.0000
SZ000832,1999-01-13,8.1000,8.2500,8.0700,8.1700,257600,2104513.00,0.00429333,0.001135,1.0000
SZ000832,1999-01-14,8.1000,8.3200,8.1000,8.3200,282200,2328978.00,0.00470333,0.001243,1.0000
SZ000832,1999-01-15,8.2600,8.2800,8.1500,8.1600,300800,2468589.00,0.00501333,0.001325,1.0000
SZ000832,1999-01-18,8.1000,8.3500,8.0100,8.3500,480600,3971717.00,0.00801000,0.002117,1.0000
SZ000832,1999-01-19,8.3200,8.6300,8.2600,8.5200,827300,7025549.00,0.01378833,0.003645,1.0000
SZ000832,1999-01-20,8.5000,8.5400,8.3600,8.4000,332700,2811231.00,0.00554500,0.001466,1.0000
SZ000832,1999-01-21,8.4300,8.7400,8.4300,8.7000,730400,6299561.00,0.01217333,0.003218,1.0000
SZ000832,1999-01-22,8.7000,8.8500,8.5600,8.6500,659300,5768386.00,0.01098833,0.002904,1.0000
SZ000832,1999-01-25,8.6000,8.6600,8.3800,8.4000,472000,4004271.00,0.00786667,0.002079,1.0000
SZ000832,1999-01-26,8.3700,8.4700,8.1900,8.1900,495300,4111475.00,0.00825500,0.002182,1.0000
SZ000832,1999-01-27,8.2100,8.4300,8.2100,8.3900,336300,2798813.00,0.00560500,0.001482,1.0000
SZ000832,1999-01-28,8.3100,8.3100,8.2200,8.2200,298900,2468284.00,0.00498167,0.001317,1.0000
SZ000832,1999-01-29,8.2100,8.2700,8.1500,8.2000,180000,1478655.00,0.00300000,0.000793,1.0000
SZ000832,1999-02-01,8.2000,8.2000,8.0900,8.1500,267000,2171926.00,0.00445000,0.001176,1.0000
SZ000832,1999-02-02,8.2000,8.3000,8.1200,8.2700,142800,1172912.00,0.00238000,0.000629,1.0000
SZ000832,1999-02-03,8.2700,8.2900,8.0900,8.1100,243300,1987269.00,0.00405500,0.001072,1.0000
SZ000832,1999-02-04,8.1000,8.1400,8.0100,8.0200,316500,2548600.00,0.00527500,0.001394,1.0000
SZ000832,1999-02-05,8.0000,8.0800,7.8900,7.9000,286300,2287711.00,0.00477167,0.001261,1.0000
SZ000832,1999-02-08,7.8000,7.9200,7.7500,7.7500,323900,2528050.00,0.00539833,0.001427,1.0000
SZ000832,1999-02-09,7.8000,8.0200,7.7900,7.9900,378900,3007683.00,0.00631500,0.001669,1.0000
SZ000832,1999-03-01,8.0000,8.0500,7.9000,7.9900,147000,1171127.00,0.00245000,0.000648,1.0000
SZ000832,1999-03-02,8.1800,8.1800,7.9200,8.0000,178400,1422889.00,0.00297333,0.000786,1.0000
SZ000832,1999-03-03,7.9500,8.3000,7.9100,8.2700,486700,3983926.00,0.00811167,0.002144,1.0000
SZ000832,1999-03-04,8.1000,8.2700,8.0600,8.1400,314300,2552519.00,0.00523833,0.001385,1.0000
SZ000832,1999-03-05,8.1000,8.3000,8.0100,8.2800,345800,2821230.00,0.00576333,0.001523,1.0000
SZ000832,1999-03-08,8.2900,8.4500,8.1000,8.4000,361300,2999437.00,0.00602167,0.001592,1.0000
SZ000832,1999-03-09,8.4300,8.4600,8.2800,8.3500,526900,4417328.00,0.00878167,0.002321,1.0000
SZ000832,1999-03-10,8.3500,8.4200,8.1500,8.1900,243700,2015157.00,0.00406167,0.001074,1.0000
SZ000832,1999-03-11,8.1800,8.3900,8.1500,8.3800,609300,5060564.00,0.01015500,0.002684,1.0000
SZ000832,1999-03-12,8.4200,8.4400,8.3000,8.4200,521900,4362300.00,0.00869833,0.002299,1.0000
SZ000832,1999-03-15,8.4000,8.6500,8.3500,8.5100,1207700,10303396.00,0.02012833,0.005320,1.0000
SZ000832,1999-03-16,8.5000,8.6000,8.4000,8.5300,643400,5477898.00,0.01072333,0.002834,1.0000
SZ000832,1999-03-17,8.6000,8.6000,8.3400,8.3500,584000,4945733.00,0.00973333,0.002573,1.0000
SZ000832,1999-03-18,8.3500,8.4000,8.2500,8.2700,406300,3380354.00,0.00677167,0.001790,1.0000
