代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SZ002582,2011-05-20,49.9800,51.6100,46.5200,48.6000,11413900,555999552.00,0.76706317,0.154660,1.0000
SZ002582,2011-05-23,47.8800,49.4800,46.7000,47.9500,5635600,272343360.00,0.37873656,0.076363,1.0000
SZ002582,2011-05-24,48.1000,52.7500,48.1000,51.7500,4866500,246542608.00,0.32704973,0.065942,1.0000
SZ002582,2011-05-25,51.1000,53.1900,50.5300,50.7100,3985900,206806048.00,0.26786962,0.054009,1.0000
SZ002582,2011-05-26,51.7000,54.2000,51.0100,52.6800,2948400,154989328.00,0.19814516,0.039951,1.0000
SZ002582,2011-05-27,51.8000,54.3000,50.0000,52.7000,2256300,118365008.00,0.15163306,0.030573,1.0000
SZ002582,2011-05-30,51.9000,56.3600,51.2000,53.5500,2331500,126510672.00,0.15668683,0.031592,1.0000
SZ002582,2011-05-31,53.6200,56.3000,53.0000,55.9200,2096500,114924576.00,0.14089382,0.028408,1.0000
SZ002582,2011-06-01,55.9700,61.5100,55.3000,61.5100,2515500,148016608.00,0.16905242,0.034085,1.0000
SZ002582,2011-06-02,61.0000,62.8800,57.8600,60.0800,2224600,134150136.00,0.14950269,0.030144,1.0000
SZ002582,2011-06-03,59.5800,60.6700,58.5000,59.3100,1387600,82745504.00,0.09325269,0.018802,1.0000
SZ002582,2011-06-07,59.0000,59.8000,57.5800,58.5000,1638400,95869392.00,0.11010753,0.022201,1.0000
SZ002582,2011-06-08,58.0100,59.0000,57.6100,58.6200,1412100,82535864.00,0.09489919,0.019134,1.0000
SZ002582,2011-06-09,58.3800,58.3800,53.8000,54.0000,3285500,180351440.00,0.22079973,0.044519,1.0000
SZ002582,2011-06-10,53.5000,54.3700,52.6000,53.9000,1250600,66919816.00,0.08404570,0.016946,1.0000
SZ002582,2011-06-13,53.0000,54.7400,52.1300,54.3500,803400,43224980.00,0.05399194,0.010886,1.0000
SZ002582,2011-06-14,53.8500,55.6500,53.7200,55.1000,932400,51305224.00,0.06266129,0.012634,1.0000
SZ002582,2011-06-15,54.6500,55.1800,53.8000,54.0000,1073500,58369836.00,0.07214382,0.014546,1.0000
SZ002582,2011-06-16,53.2200,54.9700,52.6800,52.9800,812600,43537640.00,0.05461022,0.011011,1.0000
SZ002582,2011-06-17,52.6000,53.4000,51.0000,51.0100,1622000,83900088.00,0.10900538,0.021978,1.0000
SZ002582,2011-06-20,51.0100,51.2000,50.0100,50.1800,419800,21136724.00,0.02821237,0.005688,1.0000
SZ002582,2011-06-21,50.1000,50.7900,49.1200,50.2500,891800,44689440.00,0.05993280,0.012084,1.0000
SZ002582,2011-06-22,50.5000,50.8000,49.6900,50.0700,392000,19678322.00,0.02634409,0.005312,1.0000
SZ002582,2011-06-23,50.0700,55.0800,48.8000,52.9900,1108100,57987364.00,0.07446909,0.015015,1.0000
SZ002582,2011-06-24,52.2100,54.0000,52.0200,53.2000,646600,34435504.00,0.04345430,0.008762,1.0000
SZ002582,2011-06-27,52.8400,53.9000,52.0400,52.7500,822900,43676704.00,0.05530242,0.011150,1.0000
SZ002582,2011-06-28,52.2100,52.2500,50.0000,51.0000,1184800,60550264.00,0.07962366,0.016054,1.0000
SZ002582,2011-06-29,50.7200,51.5000,49.9900,50.4900,770000,38863400.00,0.05174731,0.010434,1.0000
SZ002582,2011-06-30,50.4900,52.0000,50.3000,51.9500,641700,32739400.00,0.04312500,0.008695,1.0000
SZ002582,2011-07-01,51.8800,52.9800,51.4300,51.7000,562700,29292704.00,0.03781586,0.007625,1.0000
SZ002582,2011-07-04,51.6500,52.7000,51.6000,52.4000,909400,47374728.00,0.06111559,0.012322,1.0000
SZ002582,2011-07-05,52.6900,53.6900,52.2200,53.1900,817600,43480068.00,0.05494624,0.011079,1.0000
SZ002582,2011-07-06,52.9500,54.3500,52.0100,53.9900,866700,46115336.00,0.05824597,0.011744,1.0000
SZ002582,2011-07-07,53.8000,56.5000,53.8000,55.6200,1152800,63903496.00,0.07747312,0.015621,1.0000
SZ002582,2011-07-08,55.1300,55.4900,52.7000,52.9500,1180500,63486320.00,0.07933468,0.015996,1.0000
SZ002582,2011-07-11,52.8100,53.8100,52.3000,53.8100,892600,47317692.00,0.05998656,0.012095,1.0000
SZ002582,2011-07-12,53.3700,53.5300,52.5100,53.0500,463100,24592688.00,0.03112231,0.006275,1.0000
SZ002582,2011-07-13,53.1000,54.5000,53.1000,54.3900,569000,30765096.00,0.03823925,0.007710,1.0000
SZ002582,2011-07-14,54.4000,56.4400,54.1200,55.4900,879400,48724284.00,0.05909946,0.011916,1.0000
SZ002582,2011-07-15,55.9000,57.4700,54.5400,54.6000,1468500,81710992.00,0.09868952,0.019898,1.0000
SZ002582,2011-07-18,54.5700,55.2800,53.8100,55.0700,988100,54021000.00,0.06640457,0.013389,1.0000
SZ002582,2011-07-19,55.1000,55.1000,53.3000,53.6200,574500,30925724.00,0.03860887,0.007785,1.0000
SZ002582,2011-07-20,53.8300,54.2000,53.4200,53.5500,473100,25385264.00,0.03179435,0.006411,1.0000
SZ002582,2011-07-21,53.6800,54.3700,53.1500,53.1500,513200,27633600.00,0.03448925,0.006954,1.0000
SZ002582,2011-07-22,52.0100,52.9500,50.3000,51.2500,1622400,83824704.00,0.10903226,0.021984,1.0000
SZ002582,2011-07-25,51.0900,51.7500,50.5100,51.2900,1041700,53300464.00,0.07000672,0.014115,1.0000
SZ002582,2011-07-26,51.0000,51.9600,51.0000,51.8000,599100,30781534.00,0.04026210,0.008118,1.0000
SZ002582,2011-07-27,51.6000,52.5800,51.2500,52.1300,592700,30770300.00,0.03983199,0.008031,1.0000
SZ002582,2011-07-28,51.8800,52.6200,51.6000,52.3300,433000,22590560.00,0.02909946,0.005867,1.0000
SZ002582,2011-07-29,52.1000,53.3900,52.1000,53.0000,575800,30432634.00,0.03869624,0.007802,1.0000
SZ002582,2011-08-01,52.7400,53.6300,52.2000,52.7800,692800,36465492.00,0.04655914,0.009388,1.0000
SZ002582,2011-08-02,52.1500,52.6900,50.7900,51.8500,597800,30733796.00,0.04017473,0.008100,1.0000
SZ002582,2011-08-03,51.1100,52.3300,51.1100,51.9800,307000,15915953.00,0.02063172,0.004160,1.0000
SZ002582,2011-08-04,52.1100,54.8800,52.1100,54.1800,934800,50393960.00,0.06282258,0.012667,1.0000
SZ002582,2011-08-05,53.0000,55.6800,52.6600,54.8000,1391000,75659832.00,0.09348118,0.018848,1.0000
SZ002582,2011-08-08,54.4800,54.5300,51.0200,53.6100,997900,53177848.00,0.06706317,0.013522,1.0000
SZ002582,2011-08-09,50.8500,53.2000,50.0200,52.1500,1295000,67689720.00,0.08702957,0.017547,1.0000
SZ002582,2011-08-10,53.0000,54.3000,52.8800,53.4100,677700,36356960.00,0.04554435,0.009183,1.0000
SZ002582,2011-08-11,52.0900,58.7500,52.0000,58.7500,2404800,138478480.00,0.16161290,0.032585,1.0000
SZ002582,2011-08-12,59.2000,59.9000,57.4000,58.3000,1743200,102148488.00,0.11715054,0.023621,1.0000
SZ002582,2011-08-15,58.2000,58.3000,57.0400,57.8400,1147500,66132672.00,0.07711694,0.015549,1.0000
SZ002582,2011-08-16,57.8000,58.8000,57.3600,58.3000,1107600,64477036.00,0.07443548,0.015008,1.0000
SZ002582,2011-08-17,58.2800,58.2800,55.9000,56.2800,1090500,61651608.00,0.07328629,0.014776,1.0000
SZ002582,2011-08-18,56.0100,56.9800,54.0000,55.1800,937200,52229000.00,0.06298387,0.012699,1.0000
SZ002582,2011-08-19,54.4400,57.0000,54.3000,56.3900,1016000,56773596.00,0.06827957,0.013767,1.0000
SZ002582,2011-08-22,56.9700,56.9700,55.8700,56.5000,1265400,71385256.00,0.06803226,0.017146,1.0000
SZ002582,2011-08-23,56.6800,57.4600,56.2800,57.3100,1077900,61406844.00,0.05795161,0.014606,1.0000
SZ002582,2011-08-24,57.3700,58.9900,57.3400,58.0000,1148500,66962068.00,0.06174731,0.015562,1.0000
SZ002582,2011-08-25,57.9000,58.5000,57.1900,57.5500,696900,40272544.00,0.03746774,0.009443,1.0000
SZ002582,2011-08-26,57.3500,57.9900,56.4000,57.1400,607000,34562496.00,0.03263441,0.008225,1.0000
SZ002582,2011-08-29,56.6000,57.1000,56.2300,56.6600,583100,33039672.00,0.03134946,0.007901,1.0000
SZ002582,2011-08-30,56.9000,58.4700,55.2800,55.4000,1247100,71492704.00,0.06704839,0.016898,1.0000
SZ002582,2011-08-31,55.3900,55.8900,53.5100,53.9800,1020600,55241496.00,0.05487097,0.013829,1.0000
SZ002582,2011-09-01,54.1900,54.2100,53.0800,53.6500,511700,27446284.00,0.02751075,0.006934,1.0000
SZ002582,2011-09-02,53.5000,53.5000,52.5000,53.4100,583000,30840760.00,0.03134409,0.007900,1.0000
SZ002582,2011-09-05,53.4300,53.4300,51.8100,52.3600,460000,24061548.00,0.02473118,0.006233,1.0000
SZ002582,2011-09-06,51.6000,52.8000,51.2000,52.3900,286800,14889707.00,0.01541935,0.003886,1.0000
SZ002582,2011-09-07,52.8000,53.4900,51.9300,53.3300,457600,24244304.00,0.02460215,0.006201,1.0000
SZ002582,2011-09-08,53.5000,54.1600,52.8100,52.8300,471400,25278650.00,0.02534409,0.006388,1.0000
SZ002582,2011-09-09,52.6800,53.2900,52.1000,53.1500,294600,15575944.00,0.01583871,0.003992,1.0000
SZ002582,2011-09-13,52.3000,52.9900,51.6000,51.8200,183500,9576138.00,0.00986559,0.002486,1.0000
SZ002582,2011-09-14,52.0100,52.3800,50.9000,51.9200,254600,13126067.00,0.01368817,0.003450,1.0000
SZ002582,2011-09-15,51.9200,52.7700,51.7800,52.0000,208300,10860121.00,0.01119892,0.002822,1.0000
SZ002582,2011-09-16,52.4400,52.4500,49.5300,49.7800,586100,29881952.00,0.03151075,0.007942,1.0000
SZ002582,2011-09-19,49.5000,49.5000,48.1600,48.7800,399000,19411328.00,0.02145161,0.005407,1.0000
SZ002582,2011-09-20,48.8600,49.8900,48.7400,49.7100,406800,20109188.00,0.02187097,0.005512,1.0000
SZ002582,2011-09-21,48.8800,50.8000,48.8800,50.7000,423700,21248336.00,0.02277957,0.005741,1.0000
SZ002582,2011-09-23,48.1800,49.6900,48.1800,49.4400,489100,24013186.00,0.02629570,0.006627,1.0000
SZ002582,2011-09-26,49.3500,49.4400,47.4000,48.1000,532600,25599888.00,0.02863441,0.007217,1.0000
SZ002582,2011-09-27,48.3700,49.0000,48.1000,48.8400,345400,16798364.00,0.01856989,0.004680,1.0000
SZ002582,2011-09-28,48.9800,49.0000,47.5800,47.7300,269800,13056305.00,0.01450538,0.003656,1.0000
SZ002582,2011-09-29,47.5800,48.3000,46.0200,47.3700,282900,13339300.00,0.01520968,0.003833,1.0000
SZ002582,2011-09-30,47.7000,47.7700,46.1700,47.2000,109600,5150644.00,0.00589247,0.001485,1.0000
SZ002582,2011-10-10,47.4900,47.6600,47.0500,47.2000,101200,4793306.00,0.00544086,0.001371,1.0000
SZ002582,2011-10-11,47.9900,48.6000,46.5200,47.0000,259400,12258995.00,0.01394624,0.003515,1.0000
SZ002582,2011-10-12,47.0000,48.5900,46.0700,48.3800,306900,14701651.00,0.01650000,0.004159,1.0000
SZ002582,2011-10-13,48.3800,49.5900,47.6300,49.1200,523000,25441960.00,0.02811828,0.007087,1.0000
SZ002582,2011-10-14,48.9900,49.3000,48.2300,48.9000,170200,8298431.00,0.00915054,0.002306,1.0000
SZ002582,2011-10-17,48.9200,49.4700,48.7100,49.0300,170300,8369498.00,0.00915591,0.002308,1.0000
SZ002582,2011-10-18,48.9500,48.9800,48.0000,48.0000,239000,11586574.00,0.01284946,0.003238,1.0000
SZ002582,2011-10-19,48.5000,48.5000,47.7200,48.2000,223900,10776849.00,0.01203763,0.003034,1.0000
SZ002582,2011-10-20,48.4800,48.4800,46.2900,46.8900,378500,17724788.00,0.02034946,0.005129,1.0000
SZ002582,2011-10-21,46.6300,47.3500,45.8000,45.8000,295600,13679651.00,0.01589247,0.004005,1.0000
SZ002582,2011-10-24,45.8000,47.6000,45.6000,47.6000,233600,10935365.00,0.01255914,0.003165,1.0000
SZ002582,2011-10-25,47.3000,48.9900,47.3000,48.5900,302300,14605846.00,0.01625269,0.004096,1.0000
SZ002582,2011-10-26,48.4900,49.4900,48.0800,48.5000,368600,17975560.00,0.01981720,0.004995,1.0000
SZ002582,2011-10-27,48.8500,49.4800,48.5400,48.7000,318900,15656567.00,0.01714516,0.004321,1.0000
SZ002582,2011-10-28,49.3700,49.5900,48.9000,49.4600,243100,11955285.00,0.01306989,0.003294,1.0000
SZ002582,2011-10-31,49.6000,51.9200,49.5500,51.3000,537000,27439270.00,0.02887097,0.007276,1.0000
SZ002582,2011-11-01,51.7600,52.9800,50.7500,51.5700,676800,35010564.00,0.03638710,0.009171,1.0000
SZ002582,2011-11-02,50.5300,53.9400,50.5300,53.5700,713800,37585328.00,0.03837634,0.009672,1.0000
SZ002582,2011-11-03,53.5700,55.5700,53.0300,53.2300,690400,37442700.00,0.03711828,0.009355,1.0000
SZ002582,2011-11-04,53.2400,53.6800,52.7700,53.2300,834800,44445728.00,0.04488172,0.011312,1.0000
SZ002582,2011-11-07,53.6000,53.6000,51.6200,51.6400,220200,11635890.00,0.01183871,0.002984,1.0000
SZ002582,2011-11-08,51.5500,54.8700,51.5500,54.1600,1079700,57190284.00,0.05804839,0.014630,1.0000
SZ002582,2011-11-09,54.0000,56.0000,53.6900,55.9000,1397300,76029680.00,0.07512366,0.018934,1.0000
SZ002582,2011-11-10,55.5600,57.4800,54.8000,55.9000,1073400,60575808.00,0.05770968,0.014545,1.0000
SZ002582,2011-11-11,55.9100,56.5600,54.8100,55.3900,447400,24745500.00,0.02405376,0.006062,1.0000
SZ002582,2011-11-14,56.4900,57.5800,56.4300,57.0000,594900,33994868.00,0.03198387,0.008061,1.0000
SZ002582,2011-11-15,56.8000,57.7000,56.2000,57.0900,316300,18072348.00,0.01700538,0.004286,1.0000
SZ002582,2011-11-16,57.1800,57.2000,54.9100,55.5100,290900,16225180.00,0.01563978,0.003942,1.0000
SZ002582,2011-11-17,55.5100,56.9800,54.5000,55.8800,503200,27999060.00,0.02705376,0.006818,1.0000
SZ002582,2011-11-18,55.8900,55.8900,54.4900,54.6700,327400,18004040.00,0.01760215,0.004436,1.0000
SZ002582,2011-11-21,54.7000,55.6300,53.7000,54.3200,409400,22402476.00,0.02201075,0.005547,1.0000
SZ002582,2011-11-22,54.1200,56.4000,54.1100,56.3900,516000,28513028.00,0.02774194,0.006992,1.0000
SZ002582,2011-11-23,56.4900,57.0000,56.0000,56.7500,489200,27609164.00,0.02630108,0.006629,1.0000
SZ002582,2011-11-24,56.4000,58.1800,56.1000,58.0300,352900,20236268.00,0.01897312,0.004782,1.0000
SZ002582,2011-11-25,58.0100,58.5800,57.1200,57.6000,390900,22546188.00,0.02101613,0.005297,1.0000
SZ002582,2011-11-28,57.9800,58.1000,57.5000,58.0800,317300,18362700.00,0.01705914,0.004299,1.0000
SZ002582,2011-11-29,58.4000,59.6000,57.7300,57.7300,553600,32607946.00,0.02976344,0.007501,1.0000
SZ002582,2011-11-30,57.8000,58.0300,55.5000,56.2800,795500,45162352.00,0.04276882,0.010779,1.0000
SZ002582,2011-12-01,57.5900,61.5000,57.0500,57.5900,1097000,64952216.00,0.05897849,0.014865,1.0000
SZ002582,2011-12-02,57.0100,58.4000,56.2700,57.4700,469300,26994642.00,0.02523118,0.006359,1.0000
SZ002582,2011-12-05,57.4700,57.4700,55.5000,55.8500,326400,18440394.00,0.01754839,0.004423,1.0000
SZ002582,2011-12-06,55.5000,55.7000,53.6000,54.4100,668600,36351444.00,0.03594624,0.009060,1.0000
SZ002582,2011-12-07,54.4400,56.7100,54.4000,55.4600,358800,19995452.00,0.01929032,0.004862,1.0000
SZ002582,2011-12-08,55.3800,57.3900,55.0500,56.8000,284300,16080391.00,0.01528495,0.003852,1.0000
