代码,时间,开盘价,最高价,最低价,收盘价,成交量(股),成交额(元),流通盘换手率,全流通换手率,复权系数
SH600861,1994-05-20,9.5000,9.5000,8.8000,9.0600,15709200,143760000.00,0.31418400,0.082680,1.0000
SH600861,1994-05-23,9.0600,9.1800,8.6600,8.6800,4764500,42463000.00,0.09529000,0.025076,1.0000
SH600861,1994-05-24,8.7000,9.1300,8.6800,9.0100,7092700,63637000.00,0.14185400,0.037330,1.0000
SH600861,1994-05-25,9.1100,9.1400,8.7100,8.8400,5430500,48647000.00,0.10861000,0.028582,1.0000
SH600861,1994-05-26,8.8000,8.8000,8.1200,8.1300,3146100,26458000.00,0.06292200,0.016558,1.0000
SH600861,1994-05-27,8.0500,8.1200,7.7000,7.7200,3818200,30278000.00,0.07636400,0.020096,1.0000
SH600861,1994-05-30,7.7700,7.8000,7.0200,7.0500,2263700,16525000.00,0.04527400,0.011914,1.0000
SH600861,1994-05-31,6.9800,7.5700,6.9800,7.5600,1988900,14490000.00,0.03977800,0.010468,1.0000
SH600861,1994-06-01,7.5400,7.6800,7.0300,7.1400,3389600,25162000.00,0.06779200,0.017840,1.0000
SH600861,1994-06-02,7.1500,7.3000,7.1000,7.1700,887900,6396000.00,0.01775800,0.004673,1.0000
SH600861,1994-06-03,7.2000,7.3500,7.1200,7.1300,839000,6071000.00,0.01678000,0.004416,1.0000
SH600861,1994-06-06,7.1300,7.1800,6.9900,7.0000,610300,4301000.00,0.01220600,0.003212,1.0000
SH600861,1994-06-07,7.0000,7.0000,6.6800,6.6800,689300,4698000.00,0.01378600,0.003628,1.0000
SH600861,1994-06-08,6.6800,6.8700,6.5900,6.7500,734000,4953000.00,0.01468000,0.003863,1.0000
SH600861,1994-06-09,6.7000,6.8000,6.2200,6.3800,573700,3785000.00,0.01147400,0.003019,1.0000
SH600861,1994-06-10,6.3700,6.4600,6.0500,6.1000,800600,4993000.00,0.01601200,0.004214,1.0000
SH600861,1994-06-13,6.0000,6.1500,5.8000,5.8300,1212100,7241000.00,0.02424200,0.006379,1.0000
SH600861,1994-06-14,5.8500,6.1900,5.8100,5.9100,1177400,7034000.00,0.02354800,0.006197,1.0000
SH600861,1994-06-15,6.0000,6.0500,5.8500,5.9200,585600,3499000.00,0.01171200,0.003082,1.0000
SH600861,1994-06-16,6.0300,6.1500,5.8600,6.1100,858700,5158000.00,0.01717400,0.004519,1.0000
SH600861,1994-06-17,6.1500,6.6100,6.0500,6.5400,2309100,14569000.00,0.04618200,0.012153,1.0000
SH600861,1994-06-20,6.2800,6.6500,6.0200,6.1000,2684300,17085000.00,0.05368600,0.014128,1.0000
SH600861,1994-06-21,6.0900,6.1500,5.9500,6.0400,820400,4947000.00,0.01640800,0.004318,1.0000
SH600861,1994-06-22,6.1000,6.2200,6.0500,6.1500,466200,2861000.00,0.00932400,0.002454,1.0000
SH600861,1994-06-23,6.2000,6.2000,5.9500,6.0000,435900,2627000.00,0.00871800,0.002294,1.0000
SH600861,1994-06-24,6.0500,6.0500,5.8300,5.8600,533700,3155000.00,0.01067400,0.002809,1.0000
SH600861,1994-06-27,5.7200,5.7800,5.6000,5.6700,656600,3730000.00,0.01313200,0.003456,1.0000
SH600861,1994-06-28,5.6600,5.7200,5.6000,5.6100,178100,1008000.00,0.00356200,0.000937,1.0000
SH600861,1994-06-29,5.6500,5.7600,5.6000,5.6000,182400,1031000.00,0.00364800,0.000960,1.0000
SH600861,1994-06-30,5.6000,5.7000,5.5100,5.7000,235100,1314000.00,0.00470200,0.001237,1.0000
SH600861,1994-07-01,5.7000,5.7500,5.5100,5.5100,258500,1458000.00,0.00517000,0.001361,1.0000
SH600861,1994-07-04,5.3100,5.4200,5.2100,5.2100,308300,1639000.00,0.00616600,0.001623,1.0000
SH600861,1994-07-05,5.3200,5.3700,5.2100,5.3500,165400,873000.00,0.00330800,0.000871,1.0000
SH600861,1994-07-06,5.3600,5.3900,5.1100,5.1500,179400,945000.00,0.00358800,0.000944,1.0000
SH600861,1994-07-07,5.1200,5.1500,5.0100,5.0500,372700,1880000.00,0.00745400,0.001962,1.0000
SH600861,1994-07-08,5.1500,5.2500,4.9500,5.2100,649000,3317000.00,0.01298000,0.003416,1.0000
SH600861,1994-07-11,5.2000,5.2200,5.0100,5.0100,450200,2301000.00,0.00900400,0.002369,1.0000
SH600861,1994-07-12,5.0500,5.0800,5.0000,5.0000,122000,614000.00,0.00244000,0.000642,1.0000
SH600861,1994-07-13,5.0500,5.2000,5.0100,5.1800,428500,2210000.00,0.00857000,0.002255,1.0000
SH600861,1994-07-14,5.1900,5.2600,5.0500,5.0700,619100,3199000.00,0.01238200,0.003258,1.0000
SH600861,1994-07-15,5.0800,5.1000,4.7100,4.7900,578600,2840000.00,0.01157200,0.003045,1.0000
SH600861,1994-07-18,4.6100,4.6500,4.5300,4.6000,286700,1316000.00,0.00573400,0.001509,1.0000
SH600861,1994-07-19,4.5800,4.6900,4.5600,4.6900,239800,1107000.00,0.00479600,0.001262,1.0000
SH600861,1994-07-20,4.7500,4.7500,4.5400,4.5500,312400,1442000.00,0.00624800,0.001644,1.0000
SH600861,1994-07-21,4.5200,4.5500,4.4000,4.4000,621000,2780000.00,0.01242000,0.003268,1.0000
SH600861,1994-07-22,4.3600,4.4500,4.2400,4.2400,762200,3309000.00,0.01524400,0.004012,1.0000
SH600861,1994-07-25,4.1500,4.4200,4.1200,4.4000,542700,2331000.00,0.01085400,0.002856,1.0000
SH600861,1994-07-26,4.4300,4.6400,4.2000,4.5700,2363900,10535000.00,0.04727800,0.012442,1.0000
SH600861,1994-07-27,4.5000,4.6600,4.2200,4.2300,2487300,11315000.00,0.04974600,0.013091,1.0000
SH600861,1994-07-28,4.1900,4.2800,3.7000,3.7300,1437800,5786000.00,0.02875600,0.007567,1.0000
SH600861,1994-07-29,3.7000,3.9800,3.6900,3.9800,2280000,8695000.00,0.04560000,0.012000,1.0000
SH600861,1994-08-01,4.8000,5.8300,4.5500,5.6000,10988200,57375000.00,0.21976400,0.057833,1.0000
SH600861,1994-08-02,5.7500,6.3400,5.0000,5.2000,8893600,52338000.00,0.17787200,0.046808,1.0000
SH600861,1994-08-03,5.2200,6.2000,5.2100,6.1500,6067400,34584000.00,0.12134800,0.031934,1.0000
SH600861,1994-08-04,6.6100,7.1500,6.3000,6.8400,12556300,84405000.00,0.25112600,0.066086,1.0000
SH600861,1994-08-05,6.9000,8.2000,6.8500,8.1200,13066600,95840000.00,0.26133200,0.068772,1.0000
SH600861,1994-08-08,8.3000,8.5000,5.5000,7.7000,9931400,79142000.00,0.19862800,0.052271,1.0000
SH600861,1994-08-09,7.9000,7.9500,6.7000,6.7500,5572200,41034000.00,0.11144400,0.029327,1.0000
SH600861,1994-08-10,6.7500,8.1600,6.5000,8.0000,8177500,59645000.00,0.16355000,0.043039,1.0000
SH600861,1994-08-11,8.3500,8.3800,7.1900,7.3000,9298900,72862000.00,0.18597800,0.048942,1.0000
SH600861,1994-08-12,7.6000,8.0000,7.1500,7.3900,3745800,28286000.00,0.07491600,0.019715,1.0000
SH600861,1994-08-15,6.9500,7.5600,6.8000,7.1600,2281200,16131000.00,0.04562400,0.012006,1.0000
SH600861,1994-08-16,7.1300,8.0900,7.1300,7.6100,9903800,76640000.00,0.19807600,0.052125,1.0000
SH600861,1994-08-17,7.7800,7.7800,7.4200,7.7500,3161400,24085000.00,0.06322800,0.016639,1.0000
SH600861,1994-08-18,7.7500,8.1800,7.5100,7.7700,9403100,74749000.00,0.18806200,0.049490,1.0000
SH600861,1994-08-19,7.5000,7.6500,7.1100,7.3800,4255500,31428000.00,0.08511000,0.022397,1.0000
SH600861,1994-08-22,6.9300,7.3800,6.9300,7.0800,2631300,18636000.00,0.05262600,0.013849,1.0000
SH600861,1994-08-23,7.3400,7.4000,6.9500,7.4000,1043500,7452000.00,0.02087000,0.005492,1.0000
SH600861,1994-08-24,7.4000,7.7000,7.0200,7.3000,3992000,29991000.00,0.07984000,0.021011,1.0000
SH600861,1994-08-25,7.2000,7.4100,7.0300,7.2700,965800,6996000.00,0.01931600,0.005083,1.0000
SH600861,1994-08-26,7.3700,7.4000,7.0700,7.0800,1035600,7483000.00,0.02071200,0.005451,1.0000
SH600861,1994-08-29,7.1000,7.2500,7.0000,7.0400,920500,6515000.00,0.01841000,0.004845,1.0000
SH600861,1994-08-30,7.1500,7.5000,7.0500,7.2600,2048100,15000000.00,0.04096200,0.010779,1.0000
SH600861,1994-08-31,7.4500,7.9800,7.4100,7.7000,7962400,61862000.00,0.15924800,0.041907,1.0000
SH600861,1994-09-01,7.9300,8.0000,7.6200,7.6200,3994100,31372000.00,0.07988200,0.021022,1.0000
SH600861,1994-09-02,7.7000,8.4800,7.7000,8.3700,13379900,109245000.00,0.26759800,0.070421,1.0000
SH600861,1994-09-05,9.1200,10.5600,9.0500,10.4800,17980500,171574000.00,0.35961000,0.094634,1.0000
SH600861,1994-09-06,11.0000,11.5000,10.7100,11.1400,14406400,159482000.00,0.28812800,0.075823,1.0000
SH600861,1994-09-07,10.8700,11.3000,9.0000,9.7900,9852100,104801000.00,0.19704200,0.051853,1.0000
SH600861,1994-09-08,10.0100,10.5000,9.5500,10.0800,5555700,55535000.00,0.11111400,0.029241,1.0000
SH600861,1994-09-09,10.0000,10.1500,9.3200,9.6000,4356900,42727000.00,0.08713800,0.022931,1.0000
SH600861,1994-09-12,10.0000,10.5000,9.5000,10.2100,4677800,47719000.00,0.09355600,0.024620,1.0000
SH600861,1994-09-13,10.4000,10.4800,10.0000,10.1000,3833000,39441000.00,0.07666000,0.020174,1.0000
SH600861,1994-09-14,10.3500,10.7300,9.5200,9.7100,5634300,57768000.00,0.11268600,0.029654,1.0000
SH600861,1994-09-15,10.0000,10.1900,9.2800,9.7900,2001800,19468000.00,0.04003600,0.010536,1.0000
SH600861,1994-09-16,10.0900,10.1000,9.5000,9.8500,1328800,13058000.00,0.02657600,0.006994,1.0000
SH600861,1994-09-19,9.5000,10.2000,9.4800,9.6000,1937400,19168000.00,0.03874800,0.010197,1.0000
SH600861,1994-09-20,9.5000,9.7800,9.2200,9.3800,1181200,11132000.00,0.02362400,0.006217,1.0000
SH600861,1994-09-21,9.5000,9.7300,9.3000,9.7000,1611600,15421000.00,0.03223200,0.008482,1.0000
SH600861,1994-09-22,9.7500,9.8000,9.1800,9.2500,1448000,13854000.00,0.02896000,0.007621,1.0000
SH600861,1994-09-23,9.0200,9.2400,8.4000,8.5000,3503600,30352000.00,0.07007200,0.018440,1.0000
SH600861,1994-09-26,8.5000,8.7900,8.3600,8.7400,1790000,15377000.00,0.03580000,0.009421,1.0000
SH600861,1994-09-27,8.7400,8.7400,8.4800,8.5500,912800,7856000.00,0.01825600,0.004804,1.0000
SH600861,1994-09-28,8.7000,8.9000,8.6000,8.9000,1642400,14442000.00,0.03284800,0.008644,1.0000
SH600861,1994-09-29,8.9500,8.9500,7.8100,8.0000,1492800,12555000.00,0.02985600,0.007857,1.0000
